Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Abs. Win Rate,Rel. Win Rate,Total Risk
0.333,0.333,0.0,0.0,0.333,0.0,14.7,1.5,0.95,71.3,62.5,9.2
0.333,0.0,0.333,0.0,0.333,0.0,16.8,1.7,1.17,67.5,58.8,12.2
0.0,0.333,0.333,0.0,0.333,0.0,14.6,1.4,0.99,67.5,60.0,9.3
0.333,0.0,0.0,0.333,0.333,0.0,12.7,1.0,0.99,68.8,53.8,9.6
0.0,0.333,0.0,0.333,0.333,0.0,12.4,0.7,1.09,67.5,58.8,10.1
0.0,0.0,0.333,0.333,0.333,0.0,13.8,1.2,1.04,67.5,60.0,10.0
0.333,0.333,0.0,0.0,0.0,0.333,17.0,2.4,0.82,73.8,56.3,9.4
0.333,0.0,0.333,0.0,0.0,0.333,13.5,1.2,1.07,63.8,52.5,11.9
0.0,0.333,0.333,0.0,0.0,0.333,18.5,2.4,0.98,67.5,58.8,10.5
0.333,0.0,0.0,0.333,0.0,0.333,12.7,1.1,0.94,66.3,55.0,10.1
0.0,0.333,0.0,0.333,0.0,0.333,15.6,1.7,0.99,65.0,57.5,10.3
0.0,0.0,0.333,0.333,0.0,0.333,15.7,1.6,1.07,65.0,52.5,11.4
0.333,0.0,0.0,0.0,0.333,0.333,13.8,1.4,0.96,70.0,55.0,10.1
0.0,0.333,0.0,0.0,0.333,0.333,13.8,1.2,0.97,63.8,62.5,8.8
0.0,0.0,0.333,0.0,0.333,0.333,14.1,1.4,0.95,66.3,52.5,10.0
0.0,0.0,0.0,0.333,0.333,0.333,9.0,0.0,1.13,58.8,45.0,11.3
0.25,0.25,0.25,0.25,0.0,0.0,19.1,2.4,1.06,70.0,57.5,11.3
0.25,0.25,0.25,0.0,0.25,0.0,17.0,1.9,1.02,71.3,65.0,10.3
0.25,0.25,0.0,0.25,0.25,0.0,15.0,1.5,0.98,70.0,61.3,9.3
0.25,0.0,0.25,0.25,0.25,0.0,15.3,1.5,1.08,66.3,53.8,11.1
0.0,0.25,0.25,0.25,0.25,0.0,15.2,1.4,1.05,67.5,62.5,9.8
0.25,0.25,0.25,0.0,0.0,0.25,17.7,2.3,0.97,68.8,58.8,10.8
0.25,0.25,0.0,0.25,0.0,0.25,17.0,2.3,0.86,67.5,63.8,9.4
0.25,0.0,0.25,0.25,0.0,0.25,15.4,1.7,1.04,65.0,51.3,11.7
0.0,0.25,0.25,0.25,0.0,0.25,17.9,2.2,1.0,71.3,61.3,10.6
0.25,0.25,0.0,0.0,0.25,0.25,16.3,2.1,0.83,75.0,63.8,8.6
0.25,0.0,0.25,0.0,0.25,0.25,15.3,1.6,1.03,70.0,60.0,10.9
0.0,0.25,0.25,0.0,0.25,0.25,16.4,1.9,0.93,70.0,62.5,9.2
0.25,0.0,0.0,0.25,0.25,0.25,12.9,1.2,0.89,67.5,52.5,9.1
0.0,0.25,0.0,0.25,0.25,0.25,14.0,1.2,1.01,65.0,56.3,9.7
0.0,0.0,0.25,0.25,0.25,0.25,13.8,1.3,0.97,67.5,53.8,9.9
0.2,0.2,0.2,0.2,0.2,0.0,17.2,2.0,1.01,71.3,60.0,10.2
0.2,0.2,0.2,0.2,0.0,0.2,18.1,2.3,0.96,67.5,57.5,10.5
0.2,0.2,0.2,0.0,0.2,0.2,17.1,2.2,0.94,70.0,63.8,10.0
0.2,0.2,0.0,0.2,0.2,0.2,15.3,1.8,0.88,72.5,63.8,8.7
0.2,0.0,0.2,0.2,0.2,0.2,15.6,1.8,0.97,66.3,52.5,10.4
0.0,0.2,0.2,0.2,0.2,0.2,16.1,1.8,0.98,68.8,66.3,9.4
0.167,0.167,0.167,0.167,0.167,0.167,17.3,2.2,0.91,71.3,66.3,9.5
1.0,0.0,0.0,0.0,0.0,0.0,25.54,2.08,0.975575441443917,80.0,60.0,8.14
0.0,1.0,0.0,0.0,0.0,0.0,24.96,0.4,1.3508010269013,85.0,75.0,7.75
0.0,0.0,1.0,0.0,0.0,0.0,23.12,1.35,1.04000630544822,80.0,40.0,8.78
0.0,0.0,0.0,1.0,0.0,0.0,20.38,-0.26,1.29189867529464,70.0,60.0,8.86
0.0,0.0,0.0,0.0,1.0,0.0,16.38,-0.08,0.974705620441101,80.0,45.0,4.61
0.0,0.0,0.0,0.0,0.0,1.0,17.35,-0.72,1.2270745811143,75.0,50.0,8.07
0.5,0.5,0.0,0.0,0.0,0.0,29.49,2.46,1.06069011326896,90.0,70.0,6.49
0.5,0.0,0.5,0.0,0.0,0.0,25.59,1.96,1.01039683373859,80.0,50.0,8.34
0.0,0.5,0.5,0.0,0.0,0.0,24.82,1.24,1.13802797593774,75.0,65.0,7.72
0.5,0.0,0.0,0.5,0.0,0.0,22.76,1.89,0.850334931122146,85.0,55.0,5.98
0.0,0.5,0.0,0.5,0.0,0.0,26.13,0.7,1.3518604207393,80.0,70.0,8.49
0.0,0.0,0.5,0.5,0.0,0.0,22.83,1.71,0.912782533000923,80.0,60.0,7.18
0.5,0.0,0.0,0.0,0.5,0.0,24.39,1.54,1.01514679558228,85.0,70.0,5.73
0.0,0.5,0.0,0.0,0.5,0.0,18.45,-0.74,1.26458869819601,70.0,55.0,6.29
0.0,0.0,0.5,0.0,0.5,0.0,21.53,1.26,0.934076431794567,85.0,55.0,5.72
0.0,0.0,0.0,0.5,0.5,0.0,15.96,-0.97,1.18650638292965,70.0,45.0,6.2
0.5,0.0,0.0,0.0,0.0,0.5,23.85,2.07,0.878797972589126,90.0,50.0,7.27
0.0,0.5,0.0,0.0,0.0,0.5,27.56,0.73,1.41678691342888,85.0,80.0,8.7
0.0,0.0,0.5,0.0,0.0,0.5,23.51,1.47,1.02005250189985,80.0,60.0,8.09
0.0,0.0,0.0,0.5,0.0,0.5,18.67,-0.61,1.28893460549828,75.0,55.0,8.95
0.0,0.0,0.0,0.0,0.5,0.5,18.25,-0.15,1.10008492646388,70.0,60.0,5.48
0.333,0.333,0.333,0.0,0.0,0.0,29.01,2.27,1.09153976143718,80.0,75.0,7.13
0.333,0.333,0.0,0.333,0.0,0.0,24.91,1.73,1.00748445566034,80.0,55.0,6.63
0.333,0.0,0.333,0.333,0.0,0.0,23.77,1.71,0.960763718635896,85.0,60.0,7.19
0.0,0.333,0.333,0.333,0.0,0.0,25.81,1.36,1.16027555171043,80.0,65.0,7.77
0.333,0.333,0.0,0.0,0.333,0.0,22.07,0.38,1.1796842420917,75.0,60.0,5.96
0.333,0.0,0.333,0.0,0.333,0.0,25.53,2.18,0.924903302306591,80.0,60.0,6.27
0.0,0.333,0.333,0.0,0.333,0.0,21.13,0.25,1.16564735742934,70.0,55.0,6.28
0.333,0.0,0.0,0.333,0.333,0.0,18.81,1.0,0.84484114462693,80.0,50.0,4.77
0.0,0.333,0.0,0.333,0.333,0.0,20.61,-0.42,1.31216411337097,70.0,55.0,7.06
0.0,0.0,0.333,0.333,0.333,0.0,18.94,1.09,0.834788659780413,80.0,55.0,5.14
0.333,0.333,0.0,0.0,0.0,0.333,28.35,2.46,1.00845689663209,80.0,65.0,6.88
0.333,0.0,0.333,0.0,0.0,0.333,24.73,1.85,0.984688011707386,80.0,55.0,7.87
0.0,0.333,0.333,0.0,0.0,0.333,27.56,1.62,1.18977820979162,80.0,60.0,8.09
0.333,0.0,0.0,0.333,0.0,0.333,22.04,1.54,0.908043902930134,80.0,65.0,6.89
0.0,0.333,0.0,0.333,0.0,0.333,25.45,0.7,1.31770633107793,75.0,75.0,8.56
0.0,0.0,0.333,0.333,0.0,0.333,23.98,1.5,1.03542344088605,75.0,60.0,7.93
0.333,0.0,0.0,0.0,0.333,0.333,25.08,2.02,0.944525367918216,85.0,60.0,6.48
0.0,0.333,0.0,0.0,0.333,0.333,22.41,-0.08,1.32243611708652,70.0,70.0,7.03
0.0,0.0,0.333,0.0,0.333,0.333,22.82,1.58,0.94028794365477,80.0,55.0,6.89
0.0,0.0,0.0,0.333,0.333,0.333,15.95,-0.87,1.1778657534151,65.0,50.0,7.36
0.25,0.25,0.25,0.25,0.0,0.0,26.67,1.89,1.06778241495105,75.0,65.0,7.31
0.25,0.25,0.25,0.0,0.25,0.0,25.0,1.31,1.10571205592423,85.0,65.0,6.13
0.25,0.25,0.0,0.25,0.25,0.0,20.38,0.34,1.09908097595925,70.0,60.0,5.81
0.25,0.0,0.25,0.25,0.25,0.0,22.4,1.87,0.831234362982992,80.0,60.0,5.41
0.0,0.25,0.25,0.25,0.25,0.0,20.79,0.34,1.12619405623448,80.0,70.0,6.31
0.25,0.25,0.25,0.0,0.0,0.25,28.35,2.35,1.04516309197912,80.0,55.0,7.59
0.25,0.25,0.0,0.25,0.0,0.25,26.07,2.17,0.964960025148597,80.0,65.0,6.86
0.25,0.0,0.25,0.25,0.0,0.25,23.69,1.98,0.89863075154618,80.0,65.0,7.56
0.0,0.25,0.25,0.25,0.0,0.25,27.88,2.02,1.10937735969351,85.0,70.0,7.96
0.25,0.25,0.0,0.0,0.25,0.25,26.05,1.76,1.04847813340484,90.0,75.0,5.79
0.25,0.0,0.25,0.0,0.25,0.25,26.1,2.26,0.940957638434705,85.0,65.0,6.74
0.0,0.25,0.25,0.0,0.25,0.25,24.83,0.98,1.19160037069108,80.0,60.0,7.08
0.25,0.0,0.0,0.25,0.25,0.25,19.38,1.39,0.784163442238522,80.0,55.0,5.0
0.0,0.25,0.0,0.25,0.25,0.25,22.37,0.0,1.31477580349665,75.0,70.0,7.73
0.0,0.0,0.25,0.25,0.25,0.25,20.58,1.24,0.899535387228409,80.0,50.0,6.5
0.2,0.2,0.2,0.2,0.2,0.0,23.24,1.4,0.991586187605168,80.0,65.0,5.78
0.2,0.2,0.2,0.2,0.0,0.2,27.36,2.59,0.933934700048325,80.0,60.0,7.34
0.2,0.2,0.2,0.0,0.2,0.2,27.65,2.05,1.06943441910604,80.0,65.0,6.6
0.2,0.2,0.0,0.2,0.2,0.2,23.07,1.16,1.04368419794708,80.0,70.0,6.05
0.2,0.0,0.2,0.2,0.2,0.2,23.47,2.29,0.794886765926057,80.0,55.0,6.29
0.0,0.2,0.2,0.2,0.2,0.2,24.29,1.13,1.12511412177859,80.0,80.0,6.77
0.167,0.167,0.167,0.167,0.167,0.167,24.16,1.82,0.941707523942642,80.0,70.0,6.07
1.0,0.0,0.0,0.0,0.0,0.0,7.7,-1.59,0.736939118061755,60.0,30.0,9.59
0.0,1.0,0.0,0.0,0.0,0.0,16.75,-1.74,1.16984069330904,70.0,40.0,10.3
0.0,0.0,1.0,0.0,0.0,0.0,9.76,-2.6,1.04922101726706,55.0,30.0,11.13
0.0,0.0,0.0,1.0,0.0,0.0,20.34,-1.68,1.4389158674478,70.0,40.0,16.43
0.0,0.0,0.0,0.0,1.0,0.0,17.85,-0.89,1.01698257722442,85.0,25.0,7.94
0.0,0.0,0.0,0.0,0.0,1.0,8.36,-3.28,1.10807323220207,55.0,40.0,10.67
0.5,0.5,0.0,0.0,0.0,0.0,14.39,-0.18,0.754226231908235,70.0,35.0,9.13
0.5,0.0,0.5,0.0,0.0,0.0,8.65,-2.45,0.971649447798019,55.0,30.0,11.16
0.0,0.5,0.5,0.0,0.0,0.0,14.22,-1.54,1.02158663943514,60.0,40.0,10.09
0.5,0.0,0.0,0.5,0.0,0.0,11.22,-0.53,0.680928616221562,65.0,40.0,8.78
0.0,0.5,0.0,0.5,0.0,0.0,22.03,-0.99,1.2948600557805,65.0,40.0,12.81
0.0,0.0,0.5,0.5,0.0,0.0,11.82,-2.19,1.05491561523588,65.0,25.0,10.72
0.5,0.0,0.0,0.0,0.5,0.0,12.1,-0.71,0.739862524600847,70.0,25.0,8.05
0.0,0.5,0.0,0.0,0.5,0.0,18.26,-1.17,1.1024392488103,65.0,45.0,8.95
0.0,0.0,0.5,0.0,0.5,0.0,13.72,-1.44,0.96412601811546,65.0,30.0,9.05
0.0,0.0,0.0,0.5,0.5,0.0,18.55,-1.47,1.21266136040627,75.0,25.0,11.43
0.5,0.0,0.0,0.0,0.0,0.5,7.01,-1.83,0.746329999703915,55.0,30.0,9.37
0.0,0.5,0.0,0.0,0.0,0.5,15.3,-1.47,1.06262868929149,60.0,40.0,10.48
0.0,0.0,0.5,0.0,0.0,0.5,8.86,-2.63,1.01274070355523,55.0,30.0,10.93
0.0,0.0,0.0,0.5,0.0,0.5,15.47,-1.62,1.18198559660819,60.0,40.0,14.43
0.0,0.0,0.0,0.0,0.5,0.5,13.27,-2.04,1.05664430620391,65.0,30.0,8.96
0.333,0.333,0.333,0.0,0.0,0.0,11.77,-1.33,0.87802061559013,60.0,35.0,10.22
0.333,0.333,0.0,0.333,0.0,0.0,16.66,-0.32,0.891597203642691,65.0,35.0,9.91
0.333,0.0,0.333,0.333,0.0,0.0,10.9,-1.32,0.833827479498978,65.0,25.0,9.94
0.0,0.333,0.333,0.333,0.0,0.0,17.45,-0.91,1.04933835280926,65.0,35.0,10.59
0.333,0.333,0.0,0.0,0.333,0.0,13.65,-0.79,0.824096842312878,70.0,35.0,8.16
0.333,0.0,0.333,0.0,0.333,0.0,11.75,-1.67,0.93617761010595,65.0,25.0,9.86
0.0,0.333,0.333,0.0,0.333,0.0,14.12,-1.72,1.03799842883997,65.0,30.0,9.31
0.333,0.0,0.0,0.333,0.333,0.0,12.3,-0.7,0.746758539131361,70.0,30.0,8.0
0.0,0.333,0.0,0.333,0.333,0.0,20.28,-1.3,1.24483866329054,75.0,40.0,11.0
0.0,0.0,0.333,0.333,0.333,0.0,12.18,-1.84,0.973875915463223,60.0,30.0,8.96
0.333,0.333,0.0,0.0,0.0,0.333,12.16,-0.8,0.78439633911899,70.0,35.0,9.56
0.333,0.0,0.333,0.0,0.0,0.333,7.1,-2.55,0.91337224407955,50.0,35.0,10.77
0.0,0.333,0.333,0.0,0.0,0.333,14.94,-1.42,1.04190829067855,60.0,40.0,10.69
0.333,0.0,0.0,0.333,0.0,0.333,11.51,-0.96,0.780742222435431,60.0,35.0,9.24
0.0,0.333,0.0,0.333,0.0,0.333,19.47,-0.81,1.13342242514908,65.0,40.0,11.6
0.0,0.0,0.333,0.333,0.0,0.333,14.04,-1.57,1.03865808765484,60.0,35.0,11.0
0.333,0.0,0.0,0.0,0.333,0.333,9.95,-1.08,0.725620036282203,65.0,30.0,8.68
0.0,0.333,0.0,0.0,0.333,0.333,17.67,-1.54,1.15966514835343,65.0,50.0,9.71
0.0,0.0,0.333,0.0,0.333,0.333,10.75,-2.32,1.02353222142843,60.0,30.0,10.26
0.0,0.0,0.0,0.333,0.333,0.333,19.03,-1.78,1.33260004815273,60.0,35.0,13.56
0.25,0.25,0.25,0.25,0.0,0.0,13.7,-1.03,0.900159240861221,65.0,30.0,9.88
0.25,0.25,0.25,0.0,0.25,0.0,12.8,-1.16,0.874285704241262,65.0,35.0,9.2
0.25,0.25,0.0,0.25,0.25,0.0,17.23,-0.59,0.952110264178381,70.0,35.0,9.05
0.25,0.0,0.25,0.25,0.25,0.0,10.14,-1.54,0.82174432234448,60.0,25.0,8.64
0.0,0.25,0.25,0.25,0.25,0.0,17.78,-1.43,1.14913488514914,60.0,40.0,10.02
0.25,0.25,0.25,0.0,0.0,0.25,11.99,-1.28,0.88630861495049,60.0,35.0,10.61
0.25,0.25,0.0,0.25,0.0,0.25,16.21,0.02,0.801211447249687,65.0,45.0,9.42
0.25,0.0,0.25,0.25,0.0,0.25,10.36,-1.66,0.885673561661748,50.0,25.0,10.58
0.0,0.25,0.25,0.25,0.0,0.25,15.67,-1.2,1.03281216919258,65.0,35.0,10.67
0.25,0.25,0.0,0.0,0.25,0.25,13.89,-0.7,0.836850998385763,75.0,40.0,9.44
0.25,0.0,0.25,0.0,0.25,0.25,10.03,-1.96,0.919782099694458,65.0,35.0,10.15
0.0,0.25,0.25,0.0,0.25,0.25,14.98,-1.36,1.01420285374127,65.0,45.0,9.7
0.25,0.0,0.0,0.25,0.25,0.25,13.06,-0.79,0.804670862365341,65.0,20.0,8.54
0.0,0.25,0.0,0.25,0.25,0.25,21.92,-0.51,1.16365777670092,65.0,40.0,11.04
0.0,0.0,0.25,0.25,0.25,0.25,12.48,-1.66,0.96274753765473,65.0,35.0,9.55
0.2,0.2,0.2,0.2,0.2,0.0,13.87,-1.06,0.902265557095482,70.0,30.0,9.29
0.2,0.2,0.2,0.2,0.0,0.2,14.11,-0.9,0.895338519091244,60.0,30.0,10.04
0.2,0.2,0.2,0.0,0.2,0.2,11.64,-1.55,0.91270622447465,70.0,40.0,10.11
0.2,0.2,0.0,0.2,0.2,0.2,16.06,-0.72,0.930771321318357,70.0,40.0,9.2
0.2,0.0,0.2,0.2,0.2,0.2,11.47,-1.31,0.853121554164011,55.0,30.0,9.71
0.0,0.2,0.2,0.2,0.2,0.2,17.03,-1.3,1.09642607605322,65.0,30.0,10.05
0.167,0.167,0.167,0.167,0.167,0.167,13.73,-1.11,0.910100800805274,70.0,35.0,9.5
1.0,0.0,0.0,0.0,0.0,0.0,22.18,6.29,1.58044040356646,65.0,80.0,16.44
0.0,1.0,0.0,0.0,0.0,0.0,14.24,3.99,1.20756114947585,55.0,80.0,12.08
0.0,0.0,1.0,0.0,0.0,0.0,29.57,7.62,1.31686207007236,65.0,85.0,14.78
0.0,0.0,0.0,1.0,0.0,0.0,0.21,1.25,1.43796367969383,50.0,55.0,15.97
0.0,0.0,0.0,0.0,1.0,0.0,3.05,1.23,1.10928734225536,60.0,75.0,10.45
0.0,0.0,0.0,0.0,0.0,1.0,8.83,3.14,1.47953852985436,55.0,65.0,15.19
0.5,0.5,0.0,0.0,0.0,0.0,29.75,7.16,0.902055261328428,80.0,85.0,10.25
0.5,0.0,0.5,0.0,0.0,0.0,26.86,7.14,1.36887979640848,65.0,75.0,15.28
0.0,0.5,0.5,0.0,0.0,0.0,28.23,6.96,1.04927138382189,80.0,85.0,11.51
0.5,0.0,0.0,0.5,0.0,0.0,20.03,5.33,1.10871549054225,75.0,70.0,12.28
0.0,0.5,0.0,0.5,0.0,0.0,11.94,3.4,1.05805568485851,60.0,80.0,11.2
0.0,0.0,0.5,0.5,0.0,0.0,24.25,6.39,1.18958930293802,70.0,85.0,13.51
0.5,0.0,0.0,0.0,0.5,0.0,18.15,4.92,1.21834036559764,70.0,85.0,12.35
0.0,0.5,0.0,0.0,0.5,0.0,8.65,2.42,0.916896278879272,60.0,90.0,8.74
0.0,0.0,0.5,0.0,0.5,0.0,19.54,5.09,1.02851719792512,75.0,90.0,10.98
0.0,0.0,0.0,0.5,0.5,0.0,-0.72,0.49,1.1419565597091,55.0,70.0,11.95
0.5,0.0,0.0,0.0,0.0,0.5,20.64,5.71,1.36470891519764,65.0,75.0,14.57
0.0,0.5,0.0,0.0,0.0,0.5,20.03,5.27,1.10465895420441,65.0,80.0,12.0
0.0,0.0,0.5,0.0,0.0,0.5,22.92,6.23,1.28611536585045,65.0,70.0,14.6
0.0,0.0,0.0,0.5,0.0,0.5,7.15,2.66,1.27420997455208,55.0,50.0,14.37
0.0,0.0,0.0,0.0,0.5,0.5,5.61,2.07,1.31196999833117,60.0,65.0,12.64
0.333,0.333,0.333,0.0,0.0,0.0,30.01,7.4,1.06721770622364,85.0,85.0,12.06
0.333,0.333,0.0,0.333,0.0,0.0,26.16,6.37,0.862257181782766,85.0,90.0,9.71
0.333,0.0,0.333,0.333,0.0,0.0,25.29,6.52,1.14621140883728,75.0,70.0,12.87
0.0,0.333,0.333,0.333,0.0,0.0,23.14,5.88,1.02522694148741,80.0,80.0,11.28
0.333,0.333,0.0,0.0,0.333,0.0,19.41,4.9,0.865789536678537,80.0,85.0,9.29
0.333,0.0,0.333,0.0,0.333,0.0,24.11,6.29,1.22205461371747,70.0,90.0,13.07
0.0,0.333,0.333,0.0,0.333,0.0,19.0,4.81,0.889621833936658,80.0,90.0,9.33
0.333,0.0,0.0,0.333,0.333,0.0,15.17,4.05,1.02623592478609,65.0,80.0,10.34
0.0,0.333,0.0,0.333,0.333,0.0,5.69,1.78,0.95005973510497,60.0,80.0,9.44
0.0,0.0,0.333,0.333,0.333,0.0,16.55,4.39,1.03267545378547,70.0,90.0,10.64
0.333,0.333,0.0,0.0,0.0,0.333,27.94,6.82,0.894291581740562,80.0,80.0,10.6
0.333,0.0,0.333,0.0,0.0,0.333,24.29,6.52,1.31297562727847,65.0,70.0,14.66
0.0,0.333,0.333,0.0,0.0,0.333,28.8,7.18,1.09791237160339,75.0,80.0,12.45
0.333,0.0,0.0,0.333,0.0,0.333,15.93,4.39,1.04815140483215,70.0,65.0,11.92
0.0,0.333,0.0,0.333,0.0,0.333,16.64,4.43,0.961474065301305,65.0,75.0,10.97
0.0,0.0,0.333,0.333,0.0,0.333,21.28,5.78,1.20118270306259,70.0,70.0,13.78
0.333,0.0,0.0,0.0,0.333,0.333,19.84,5.5,1.37968626091211,70.0,80.0,14.15
0.0,0.333,0.0,0.0,0.333,0.333,13.61,3.63,0.990142126972353,55.0,85.0,9.71
0.0,0.0,0.333,0.0,0.333,0.333,22.65,5.96,1.1839961819191,70.0,75.0,12.94
0.0,0.0,0.0,0.333,0.333,0.333,1.16,1.2,1.3091877304767,50.0,50.0,14.06
0.25,0.25,0.25,0.25,0.0,0.0,27.5,6.84,1.02802871894279,85.0,85.0,11.64
0.25,0.25,0.25,0.0,0.25,0.0,25.62,6.39,1.0284686868621,80.0,90.0,11.08
0.25,0.25,0.0,0.25,0.25,0.0,16.35,4.21,0.887199273376654,75.0,85.0,9.12
0.25,0.0,0.25,0.25,0.25,0.0,23.07,5.92,1.08146677439444,70.0,85.0,11.58
0.0,0.25,0.25,0.25,0.25,0.0,16.12,4.18,0.915069481971682,70.0,85.0,9.4
0.25,0.25,0.25,0.0,0.0,0.25,28.09,7.06,1.08141567046545,75.0,85.0,12.64
0.25,0.25,0.0,0.25,0.0,0.25,23.88,5.95,0.885613987015488,70.0,85.0,10.41
0.25,0.0,0.25,0.25,0.0,0.25,24.33,6.42,1.17513406133545,70.0,65.0,13.79
0.0,0.25,0.25,0.25,0.0,0.25,24.13,6.21,1.08849983037164,75.0,80.0,12.4
0.25,0.25,0.0,0.0,0.25,0.25,24.44,6.03,0.908558879858028,80.0,85.0,9.91
0.25,0.0,0.25,0.0,0.25,0.25,24.92,6.56,1.30145407560761,70.0,80.0,14.0
0.0,0.25,0.25,0.0,0.25,0.25,23.17,5.84,1.01368370852621,80.0,80.0,10.81
0.25,0.0,0.0,0.25,0.25,0.25,16.67,4.54,1.06851009380207,70.0,70.0,11.76
0.0,0.25,0.0,0.25,0.25,0.25,10.98,3.1,1.01362853110589,55.0,75.0,10.42
0.0,0.0,0.25,0.25,0.25,0.25,19.19,5.17,1.13350154793691,65.0,75.0,12.41
0.2,0.2,0.2,0.2,0.2,0.0,24.23,6.03,0.975507153222619,80.0,85.0,10.42
0.2,0.2,0.2,0.2,0.0,0.2,26.76,6.74,1.01917258093504,75.0,85.0,12.09
0.2,0.2,0.2,0.0,0.2,0.2,27.64,6.91,1.08058288337879,75.0,85.0,12.03
0.2,0.2,0.0,0.2,0.2,0.2,19.5,4.96,0.908428925643007,80.0,85.0,9.8
0.2,0.0,0.2,0.2,0.2,0.2,24.2,6.28,1.14972987871062,75.0,75.0,12.73
0.0,0.2,0.2,0.2,0.2,0.2,20.01,5.13,0.99765594882205,70.0,90.0,10.54
0.167,0.167,0.167,0.167,0.167,0.167,26.69,6.63,0.998147585233246,80.0,85.0,11.2
1.0,0.0,0.0,0.0,0.0,0.0,1.95,1.34,1.90260785842194,60.0,40.0,21.86
0.0,1.0,0.0,0.0,0.0,0.0,2.38,0.64,1.26328666976097,55.0,65.0,12.87
0.0,0.0,1.0,0.0,0.0,0.0,8.03,2.65,1.89433911474852,55.0,50.0,20.83
0.0,0.0,0.0,1.0,0.0,0.0,-0.67,0.07,1.42545367196926,55.0,35.0,15.55
0.0,0.0,0.0,0.0,1.0,0.0,2.2,0.44,1.09457872420659,65.0,70.0,10.67
0.0,0.0,0.0,0.0,0.0,1.0,-5.34,-1.49,0.859994814225728,40.0,30.0,8.89
0.5,0.5,0.0,0.0,0.0,0.0,6.19,1.63,1.39219244061401,55.0,65.0,14.41
0.5,0.0,0.5,0.0,0.0,0.0,6.17,2.34,1.93911838502618,60.0,50.0,21.82
0.0,0.5,0.5,0.0,0.0,0.0,7.82,1.97,1.35446157422151,55.0,70.0,13.77
0.5,0.0,0.0,0.5,0.0,0.0,6.85,1.9,1.52495734528824,55.0,40.0,16.28
0.0,0.5,0.0,0.5,0.0,0.0,4.73,1.23,1.24737550166848,65.0,65.0,13.18
0.0,0.0,0.5,0.5,0.0,0.0,9.84,2.64,1.59140867642691,60.0,55.0,16.61
0.5,0.0,0.0,0.0,0.5,0.0,2.56,0.74,1.4207594823452,55.0,50.0,14.6
0.0,0.5,0.0,0.0,0.5,0.0,4.6,1.07,1.09153718533456,65.0,75.0,10.99
0.0,0.0,0.5,0.0,0.5,0.0,4.17,1.1,1.41954640636682,55.0,50.0,14.24
0.0,0.0,0.0,0.5,0.5,0.0,3.57,0.95,1.20324449763971,65.0,60.0,12.94
