Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Rel. Win Rate,Abs. Win Rate
0.333,0.0,0.333,0.333,0.0,0.0,16.4,1.7,1.14,12.4,48.8,70.0
0.0,0.333,0.333,0.333,0.0,0.0,18.4,2.2,1.07,10.9,61.3,70.0
0.333,0.333,0.0,0.0,0.333,0.0,14.7,1.5,0.95,9.2,62.5,71.3
0.333,0.0,0.333,0.0,0.333,0.0,16.8,1.7,1.17,12.2,58.8,67.5
0.0,0.333,0.333,0.0,0.333,0.0,14.6,1.4,0.99,9.3,60.0,67.5
0.333,0.0,0.0,0.333,0.333,0.0,12.7,1.0,0.99,9.6,53.8,68.8
0.0,0.333,0.0,0.333,0.333,0.0,12.4,0.7,1.09,10.1,58.8,67.5
0.0,0.0,0.333,0.333,0.333,0.0,13.8,1.2,1.04,10.0,60.0,67.5
0.333,0.333,0.0,0.0,0.0,0.333,17.0,2.4,0.82,9.4,56.3,73.8
0.333,0.0,0.333,0.0,0.0,0.333,13.5,1.2,1.07,11.9,52.5,63.8
0.0,0.333,0.333,0.0,0.0,0.333,18.5,2.4,0.98,10.5,58.8,67.5
0.333,0.0,0.0,0.333,0.0,0.333,12.7,1.1,0.94,10.1,55.0,66.3
0.0,0.333,0.0,0.333,0.0,0.333,15.6,1.7,0.99,10.3,57.5,65.0
0.0,0.0,0.333,0.333,0.0,0.333,15.7,1.6,1.07,11.4,52.5,65.0
0.333,0.0,0.0,0.0,0.333,0.333,13.8,1.4,0.96,10.1,55.0,70.0
0.0,0.333,0.0,0.0,0.333,0.333,13.8,1.2,0.97,8.8,62.5,63.8
0.0,0.0,0.333,0.0,0.333,0.333,14.1,1.4,0.95,10.0,52.5,66.3
0.0,0.0,0.0,0.333,0.333,0.333,9.0,0.0,1.13,11.3,45.0,58.8
0.25,0.25,0.25,0.25,0.0,0.0,19.1,2.4,1.06,11.3,57.5,70.0
0.25,0.25,0.25,0.0,0.25,0.0,17.0,1.9,1.02,10.3,65.0,71.3
0.25,0.25,0.0,0.25,0.25,0.0,15.0,1.5,0.98,9.3,61.3,70.0
0.25,0.0,0.25,0.25,0.25,0.0,15.3,1.5,1.08,11.1,53.8,66.3
0.0,0.25,0.25,0.25,0.25,0.0,15.2,1.4,1.05,9.8,62.5,67.5
0.25,0.25,0.25,0.0,0.0,0.25,17.7,2.3,0.97,10.8,58.8,68.8
0.25,0.25,0.0,0.25,0.0,0.25,17.0,2.3,0.86,9.4,63.8,67.5
0.25,0.0,0.25,0.25,0.0,0.25,15.4,1.7,1.04,11.7,51.3,65.0
0.0,0.25,0.25,0.25,0.0,0.25,17.9,2.2,1.0,10.6,61.3,71.3
0.25,0.25,0.0,0.0,0.25,0.25,16.3,2.1,0.83,8.6,63.8,75.0
0.25,0.0,0.25,0.0,0.25,0.25,15.3,1.6,1.03,10.9,60.0,70.0
0.0,0.25,0.25,0.0,0.25,0.25,16.4,1.9,0.93,9.2,62.5,70.0
0.25,0.0,0.0,0.25,0.25,0.25,12.9,1.2,0.89,9.1,52.5,67.5
0.0,0.25,0.0,0.25,0.25,0.25,14.0,1.2,1.01,9.7,56.3,65.0
0.0,0.0,0.25,0.25,0.25,0.25,13.8,1.3,0.97,9.9,53.8,67.5
0.2,0.2,0.2,0.2,0.2,0.0,17.2,2.0,1.01,10.2,60.0,71.3
0.2,0.2,0.2,0.2,0.0,0.2,18.1,2.3,0.96,10.5,57.5,67.5
0.2,0.2,0.2,0.0,0.2,0.2,17.1,2.2,0.94,10.0,63.8,70.0
0.2,0.2,0.0,0.2,0.2,0.2,15.3,1.8,0.88,8.7,63.8,72.5
0.2,0.0,0.2,0.2,0.2,0.2,15.6,1.8,0.97,10.4,52.5,66.3
0.0,0.2,0.2,0.2,0.2,0.2,16.1,1.8,0.98,9.4,66.3,68.8
0.167,0.167,0.167,0.167,0.167,0.167,17.3,2.2,0.91,9.5,66.3,71.3
1.0,0.0,0.0,0.0,0.0,0.0,25.54,2.08,0.975575441443917,8.14,60.0,80.0
0.0,1.0,0.0,0.0,0.0,0.0,24.96,0.4,1.3508010269013,7.75,75.0,85.0
0.0,0.0,1.0,0.0,0.0,0.0,23.12,1.35,1.04000630544822,8.78,40.0,80.0
0.0,0.0,0.0,1.0,0.0,0.0,20.38,-0.26,1.29189867529464,8.86,60.0,70.0
0.0,0.0,0.0,0.0,1.0,0.0,16.38,-0.08,0.974705620441101,4.61,45.0,80.0
0.0,0.0,0.0,0.0,0.0,1.0,17.35,-0.72,1.2270745811143,8.07,50.0,75.0
0.5,0.5,0.0,0.0,0.0,0.0,29.49,2.46,1.06069011326896,6.49,70.0,90.0
0.5,0.0,0.5,0.0,0.0,0.0,25.59,1.96,1.01039683373859,8.34,50.0,80.0
0.0,0.5,0.5,0.0,0.0,0.0,24.82,1.24,1.13802797593774,7.72,65.0,75.0
0.5,0.0,0.0,0.5,0.0,0.0,22.76,1.89,0.850334931122146,5.98,55.0,85.0
0.0,0.5,0.0,0.5,0.0,0.0,26.13,0.7,1.3518604207393,8.49,70.0,80.0
0.0,0.0,0.5,0.5,0.0,0.0,22.83,1.71,0.912782533000923,7.18,60.0,80.0
0.5,0.0,0.0,0.0,0.5,0.0,24.39,1.54,1.01514679558228,5.73,70.0,85.0
0.0,0.5,0.0,0.0,0.5,0.0,18.45,-0.74,1.26458869819601,6.29,55.0,70.0
0.0,0.0,0.5,0.0,0.5,0.0,21.53,1.26,0.934076431794567,5.72,55.0,85.0
0.0,0.0,0.0,0.5,0.5,0.0,15.96,-0.97,1.18650638292965,6.2,45.0,70.0
0.5,0.0,0.0,0.0,0.0,0.5,23.85,2.07,0.878797972589126,7.27,50.0,90.0
0.0,0.5,0.0,0.0,0.0,0.5,27.56,0.73,1.41678691342888,8.7,80.0,85.0
0.0,0.0,0.5,0.0,0.0,0.5,23.51,1.47,1.02005250189985,8.09,60.0,80.0
0.0,0.0,0.0,0.5,0.0,0.5,18.67,-0.61,1.28893460549828,8.95,55.0,75.0
0.0,0.0,0.0,0.0,0.5,0.5,18.25,-0.15,1.10008492646388,5.48,60.0,70.0
0.333,0.333,0.333,0.0,0.0,0.0,29.01,2.27,1.09153976143718,7.13,75.0,80.0
0.333,0.333,0.0,0.333,0.0,0.0,24.91,1.73,1.00748445566034,6.63,55.0,80.0
0.333,0.0,0.333,0.333,0.0,0.0,23.77,1.71,0.960763718635896,7.19,60.0,85.0
0.0,0.333,0.333,0.333,0.0,0.0,25.81,1.36,1.16027555171043,7.77,65.0,80.0
0.333,0.333,0.0,0.0,0.333,0.0,22.07,0.38,1.1796842420917,5.96,60.0,75.0
0.333,0.0,0.333,0.0,0.333,0.0,25.53,2.18,0.924903302306591,6.27,60.0,80.0
0.0,0.333,0.333,0.0,0.333,0.0,21.13,0.25,1.16564735742934,6.28,55.0,70.0
0.333,0.0,0.0,0.333,0.333,0.0,18.81,1.0,0.84484114462693,4.77,50.0,80.0
0.0,0.333,0.0,0.333,0.333,0.0,20.61,-0.42,1.31216411337097,7.06,55.0,70.0
0.0,0.0,0.333,0.333,0.333,0.0,18.94,1.09,0.834788659780413,5.14,55.0,80.0
0.333,0.333,0.0,0.0,0.0,0.333,28.35,2.46,1.00845689663209,6.88,65.0,80.0
0.333,0.0,0.333,0.0,0.0,0.333,24.73,1.85,0.984688011707386,7.87,55.0,80.0
0.0,0.333,0.333,0.0,0.0,0.333,27.56,1.62,1.18977820979162,8.09,60.0,80.0
0.333,0.0,0.0,0.333,0.0,0.333,22.04,1.54,0.908043902930134,6.89,65.0,80.0
0.0,0.333,0.0,0.333,0.0,0.333,25.45,0.7,1.31770633107793,8.56,75.0,75.0
0.0,0.0,0.333,0.333,0.0,0.333,23.98,1.5,1.03542344088605,7.93,60.0,75.0
0.333,0.0,0.0,0.0,0.333,0.333,25.08,2.02,0.944525367918216,6.48,60.0,85.0
0.0,0.333,0.0,0.0,0.333,0.333,22.41,-0.08,1.32243611708652,7.03,70.0,70.0
0.0,0.0,0.333,0.0,0.333,0.333,22.82,1.58,0.94028794365477,6.89,55.0,80.0
0.0,0.0,0.0,0.333,0.333,0.333,15.95,-0.87,1.1778657534151,7.36,50.0,65.0
0.25,0.25,0.25,0.25,0.0,0.0,26.67,1.89,1.06778241495105,7.31,65.0,75.0
0.25,0.25,0.25,0.0,0.25,0.0,25.0,1.31,1.10571205592423,6.13,65.0,85.0
0.25,0.25,0.0,0.25,0.25,0.0,20.38,0.34,1.09908097595925,5.81,60.0,70.0
0.25,0.0,0.25,0.25,0.25,0.0,22.4,1.87,0.831234362982992,5.41,60.0,80.0
0.0,0.25,0.25,0.25,0.25,0.0,20.79,0.34,1.12619405623448,6.31,70.0,80.0
0.25,0.25,0.25,0.0,0.0,0.25,28.35,2.35,1.04516309197912,7.59,55.0,80.0
0.25,0.25,0.0,0.25,0.0,0.25,26.07,2.17,0.964960025148597,6.86,65.0,80.0
0.25,0.0,0.25,0.25,0.0,0.25,23.69,1.98,0.89863075154618,7.56,65.0,80.0
0.0,0.25,0.25,0.25,0.0,0.25,27.88,2.02,1.10937735969351,7.96,70.0,85.0
0.25,0.25,0.0,0.0,0.25,0.25,26.05,1.76,1.04847813340484,5.79,75.0,90.0
0.25,0.0,0.25,0.0,0.25,0.25,26.1,2.26,0.940957638434705,6.74,65.0,85.0
0.0,0.25,0.25,0.0,0.25,0.25,24.83,0.98,1.19160037069108,7.08,60.0,80.0
0.25,0.0,0.0,0.25,0.25,0.25,19.38,1.39,0.784163442238522,5.0,55.0,80.0
0.0,0.25,0.0,0.25,0.25,0.25,22.37,0.0,1.31477580349665,7.73,70.0,75.0
0.0,0.0,0.25,0.25,0.25,0.25,20.58,1.24,0.899535387228409,6.5,50.0,80.0
0.2,0.2,0.2,0.2,0.2,0.0,23.24,1.4,0.991586187605168,5.78,65.0,80.0
0.2,0.2,0.2,0.2,0.0,0.2,27.36,2.59,0.933934700048325,7.34,60.0,80.0
0.2,0.2,0.2,0.0,0.2,0.2,27.65,2.05,1.06943441910604,6.6,65.0,80.0
0.2,0.2,0.0,0.2,0.2,0.2,23.07,1.16,1.04368419794708,6.05,70.0,80.0
0.2,0.0,0.2,0.2,0.2,0.2,23.47,2.29,0.794886765926057,6.29,55.0,80.0
0.0,0.2,0.2,0.2,0.2,0.2,24.29,1.13,1.12511412177859,6.77,80.0,80.0
0.167,0.167,0.167,0.167,0.167,0.167,24.16,1.82,0.941707523942642,6.07,70.0,80.0
1.0,0.0,0.0,0.0,0.0,0.0,7.7,-1.59,0.736939118061755,9.59,30.0,60.0
0.0,1.0,0.0,0.0,0.0,0.0,16.75,-1.74,1.16984069330904,10.3,40.0,70.0
0.0,0.0,1.0,0.0,0.0,0.0,9.76,-2.6,1.04922101726706,11.13,30.0,55.0
0.0,0.0,0.0,1.0,0.0,0.0,20.34,-1.68,1.4389158674478,16.43,40.0,70.0
0.0,0.0,0.0,0.0,1.0,0.0,17.85,-0.89,1.01698257722442,7.94,25.0,85.0
0.0,0.0,0.0,0.0,0.0,1.0,8.36,-3.28,1.10807323220207,10.67,40.0,55.0
0.5,0.5,0.0,0.0,0.0,0.0,14.39,-0.18,0.754226231908235,9.13,35.0,70.0
0.5,0.0,0.5,0.0,0.0,0.0,8.65,-2.45,0.971649447798019,11.16,30.0,55.0
0.0,0.5,0.5,0.0,0.0,0.0,14.22,-1.54,1.02158663943514,10.09,40.0,60.0
0.5,0.0,0.0,0.5,0.0,0.0,11.22,-0.53,0.680928616221562,8.78,40.0,65.0
0.0,0.5,0.0,0.5,0.0,0.0,22.03,-0.99,1.2948600557805,12.81,40.0,65.0
0.0,0.0,0.5,0.5,0.0,0.0,11.82,-2.19,1.05491561523588,10.72,25.0,65.0
0.5,0.0,0.0,0.0,0.5,0.0,12.1,-0.71,0.739862524600847,8.05,25.0,70.0
0.0,0.5,0.0,0.0,0.5,0.0,18.26,-1.17,1.1024392488103,8.95,45.0,65.0
0.0,0.0,0.5,0.0,0.5,0.0,13.72,-1.44,0.96412601811546,9.05,30.0,65.0
0.0,0.0,0.0,0.5,0.5,0.0,18.55,-1.47,1.21266136040627,11.43,25.0,75.0
0.5,0.0,0.0,0.0,0.0,0.5,7.01,-1.83,0.746329999703915,9.37,30.0,55.0
0.0,0.5,0.0,0.0,0.0,0.5,15.3,-1.47,1.06262868929149,10.48,40.0,60.0
0.0,0.0,0.5,0.0,0.0,0.5,8.86,-2.63,1.01274070355523,10.93,30.0,55.0
0.0,0.0,0.0,0.5,0.0,0.5,15.47,-1.62,1.18198559660819,14.43,40.0,60.0
0.0,0.0,0.0,0.0,0.5,0.5,13.27,-2.04,1.05664430620391,8.96,30.0,65.0
0.333,0.333,0.333,0.0,0.0,0.0,11.77,-1.33,0.87802061559013,10.22,35.0,60.0
0.333,0.333,0.0,0.333,0.0,0.0,16.66,-0.32,0.891597203642691,9.91,35.0,65.0
0.333,0.0,0.333,0.333,0.0,0.0,10.9,-1.32,0.833827479498978,9.94,25.0,65.0
0.0,0.333,0.333,0.333,0.0,0.0,17.45,-0.91,1.04933835280926,10.59,35.0,65.0
0.333,0.333,0.0,0.0,0.333,0.0,13.65,-0.79,0.824096842312878,8.16,35.0,70.0
0.333,0.0,0.333,0.0,0.333,0.0,11.75,-1.67,0.93617761010595,9.86,25.0,65.0
0.0,0.333,0.333,0.0,0.333,0.0,14.12,-1.72,1.03799842883997,9.31,30.0,65.0
0.333,0.0,0.0,0.333,0.333,0.0,12.3,-0.7,0.746758539131361,8.0,30.0,70.0
0.0,0.333,0.0,0.333,0.333,0.0,20.28,-1.3,1.24483866329054,11.0,40.0,75.0
0.0,0.0,0.333,0.333,0.333,0.0,12.18,-1.84,0.973875915463223,8.96,30.0,60.0
0.333,0.333,0.0,0.0,0.0,0.333,12.16,-0.8,0.78439633911899,9.56,35.0,70.0
0.333,0.0,0.333,0.0,0.0,0.333,7.1,-2.55,0.91337224407955,10.77,35.0,50.0
0.0,0.333,0.333,0.0,0.0,0.333,14.94,-1.42,1.04190829067855,10.69,40.0,60.0
0.333,0.0,0.0,0.333,0.0,0.333,11.51,-0.96,0.780742222435431,9.24,35.0,60.0
0.0,0.333,0.0,0.333,0.0,0.333,19.47,-0.81,1.13342242514908,11.6,40.0,65.0
0.0,0.0,0.333,0.333,0.0,0.333,14.04,-1.57,1.03865808765484,11.0,35.0,60.0
0.333,0.0,0.0,0.0,0.333,0.333,9.95,-1.08,0.725620036282203,8.68,30.0,65.0
0.0,0.333,0.0,0.0,0.333,0.333,17.67,-1.54,1.15966514835343,9.71,50.0,65.0
0.0,0.0,0.333,0.0,0.333,0.333,10.75,-2.32,1.02353222142843,10.26,30.0,60.0
0.0,0.0,0.0,0.333,0.333,0.333,19.03,-1.78,1.33260004815273,13.56,35.0,60.0
0.25,0.25,0.25,0.25,0.0,0.0,13.7,-1.03,0.900159240861221,9.88,30.0,65.0
0.25,0.25,0.25,0.0,0.25,0.0,12.8,-1.16,0.874285704241262,9.2,35.0,65.0
0.25,0.25,0.0,0.25,0.25,0.0,17.23,-0.59,0.952110264178381,9.05,35.0,70.0
0.25,0.0,0.25,0.25,0.25,0.0,10.14,-1.54,0.82174432234448,8.64,25.0,60.0
0.0,0.25,0.25,0.25,0.25,0.0,17.78,-1.43,1.14913488514914,10.02,40.0,60.0
0.25,0.25,0.25,0.0,0.0,0.25,11.99,-1.28,0.88630861495049,10.61,35.0,60.0
0.25,0.25,0.0,0.25,0.0,0.25,16.21,0.02,0.801211447249687,9.42,45.0,65.0
0.25,0.0,0.25,0.25,0.0,0.25,10.36,-1.66,0.885673561661748,10.58,25.0,50.0
0.0,0.25,0.25,0.25,0.0,0.25,15.67,-1.2,1.03281216919258,10.67,35.0,65.0
0.25,0.25,0.0,0.0,0.25,0.25,13.89,-0.7,0.836850998385763,9.44,40.0,75.0
0.25,0.0,0.25,0.0,0.25,0.25,10.03,-1.96,0.919782099694458,10.15,35.0,65.0
0.0,0.25,0.25,0.0,0.25,0.25,14.98,-1.36,1.01420285374127,9.7,45.0,65.0
0.25,0.0,0.0,0.25,0.25,0.25,13.06,-0.79,0.804670862365341,8.54,20.0,65.0
0.0,0.25,0.0,0.25,0.25,0.25,21.92,-0.51,1.16365777670092,11.04,40.0,65.0
0.0,0.0,0.25,0.25,0.25,0.25,12.48,-1.66,0.96274753765473,9.55,35.0,65.0
0.2,0.2,0.2,0.2,0.2,0.0,13.87,-1.06,0.902265557095482,9.29,30.0,70.0
0.2,0.2,0.2,0.2,0.0,0.2,14.11,-0.9,0.895338519091244,10.04,30.0,60.0
0.2,0.2,0.2,0.0,0.2,0.2,11.64,-1.55,0.91270622447465,10.11,40.0,70.0
0.2,0.2,0.0,0.2,0.2,0.2,16.06,-0.72,0.930771321318357,9.2,40.0,70.0
0.2,0.0,0.2,0.2,0.2,0.2,11.47,-1.31,0.853121554164011,9.71,30.0,55.0
0.0,0.2,0.2,0.2,0.2,0.2,17.03,-1.3,1.09642607605322,10.05,30.0,65.0
0.167,0.167,0.167,0.167,0.167,0.167,13.73,-1.11,0.910100800805274,9.5,35.0,70.0
1.0,0.0,0.0,0.0,0.0,0.0,22.18,6.29,1.58044040356646,16.44,80.0,65.0
0.0,1.0,0.0,0.0,0.0,0.0,14.24,3.99,1.20756114947585,12.08,80.0,55.0
0.0,0.0,1.0,0.0,0.0,0.0,29.57,7.62,1.31686207007236,14.78,85.0,65.0
0.0,0.0,0.0,1.0,0.0,0.0,0.21,1.25,1.43796367969383,15.97,55.0,50.0
0.0,0.0,0.0,0.0,1.0,0.0,3.05,1.23,1.10928734225536,10.45,75.0,60.0
0.0,0.0,0.0,0.0,0.0,1.0,8.83,3.14,1.47953852985436,15.19,65.0,55.0
0.5,0.5,0.0,0.0,0.0,0.0,29.75,7.16,0.902055261328428,10.25,85.0,80.0
0.5,0.0,0.5,0.0,0.0,0.0,26.86,7.14,1.36887979640848,15.28,75.0,65.0
0.0,0.5,0.5,0.0,0.0,0.0,28.23,6.96,1.04927138382189,11.51,85.0,80.0
0.5,0.0,0.0,0.5,0.0,0.0,20.03,5.33,1.10871549054225,12.28,70.0,75.0
0.0,0.5,0.0,0.5,0.0,0.0,11.94,3.4,1.05805568485851,11.2,80.0,60.0
0.0,0.0,0.5,0.5,0.0,0.0,24.25,6.39,1.18958930293802,13.51,85.0,70.0
0.5,0.0,0.0,0.0,0.5,0.0,18.15,4.92,1.21834036559764,12.35,85.0,70.0
0.0,0.5,0.0,0.0,0.5,0.0,8.65,2.42,0.916896278879272,8.74,90.0,60.0
0.0,0.0,0.5,0.0,0.5,0.0,19.54,5.09,1.02851719792512,10.98,90.0,75.0
0.0,0.0,0.0,0.5,0.5,0.0,-0.72,0.49,1.1419565597091,11.95,70.0,55.0
0.5,0.0,0.0,0.0,0.0,0.5,20.64,5.71,1.36470891519764,14.57,75.0,65.0
0.0,0.5,0.0,0.0,0.0,0.5,20.03,5.27,1.10465895420441,12.0,80.0,65.0
0.0,0.0,0.5,0.0,0.0,0.5,22.92,6.23,1.28611536585045,14.6,70.0,65.0
0.0,0.0,0.0,0.5,0.0,0.5,7.15,2.66,1.27420997455208,14.37,50.0,55.0
0.0,0.0,0.0,0.0,0.5,0.5,5.61,2.07,1.31196999833117,12.64,65.0,60.0
0.333,0.333,0.333,0.0,0.0,0.0,30.01,7.4,1.06721770622364,12.06,85.0,85.0
0.333,0.333,0.0,0.333,0.0,0.0,26.16,6.37,0.862257181782766,9.71,90.0,85.0
0.333,0.0,0.333,0.333,0.0,0.0,25.29,6.52,1.14621140883728,12.87,70.0,75.0
0.0,0.333,0.333,0.333,0.0,0.0,23.14,5.88,1.02522694148741,11.28,80.0,80.0
0.333,0.333,0.0,0.0,0.333,0.0,19.41,4.9,0.865789536678537,9.29,85.0,80.0
0.333,0.0,0.333,0.0,0.333,0.0,24.11,6.29,1.22205461371747,13.07,90.0,70.0
0.0,0.333,0.333,0.0,0.333,0.0,19.0,4.81,0.889621833936658,9.33,90.0,80.0
0.333,0.0,0.0,0.333,0.333,0.0,15.17,4.05,1.02623592478609,10.34,80.0,65.0
0.0,0.333,0.0,0.333,0.333,0.0,5.69,1.78,0.95005973510497,9.44,80.0,60.0
0.0,0.0,0.333,0.333,0.333,0.0,16.55,4.39,1.03267545378547,10.64,90.0,70.0
0.333,0.333,0.0,0.0,0.0,0.333,27.94,6.82,0.894291581740562,10.6,80.0,80.0
0.333,0.0,0.333,0.0,0.0,0.333,24.29,6.52,1.31297562727847,14.66,70.0,65.0
0.0,0.333,0.333,0.0,0.0,0.333,28.8,7.18,1.09791237160339,12.45,80.0,75.0
0.333,0.0,0.0,0.333,0.0,0.333,15.93,4.39,1.04815140483215,11.92,65.0,70.0
0.0,0.333,0.0,0.333,0.0,0.333,16.64,4.43,0.961474065301305,10.97,75.0,65.0
0.0,0.0,0.333,0.333,0.0,0.333,21.28,5.78,1.20118270306259,13.78,70.0,70.0
0.333,0.0,0.0,0.0,0.333,0.333,19.84,5.5,1.37968626091211,14.15,80.0,70.0
0.0,0.333,0.0,0.0,0.333,0.333,13.61,3.63,0.990142126972353,9.71,85.0,55.0
0.0,0.0,0.333,0.0,0.333,0.333,22.65,5.96,1.1839961819191,12.94,75.0,70.0
0.0,0.0,0.0,0.333,0.333,0.333,1.16,1.2,1.3091877304767,14.06,50.0,50.0
0.25,0.25,0.25,0.25,0.0,0.0,27.5,6.84,1.02802871894279,11.64,85.0,85.0
0.25,0.25,0.25,0.0,0.25,0.0,25.62,6.39,1.0284686868621,11.08,90.0,80.0
0.25,0.25,0.0,0.25,0.25,0.0,16.35,4.21,0.887199273376654,9.12,85.0,75.0
0.25,0.0,0.25,0.25,0.25,0.0,23.07,5.92,1.08146677439444,11.58,85.0,70.0
0.0,0.25,0.25,0.25,0.25,0.0,16.12,4.18,0.915069481971682,9.4,85.0,70.0
0.25,0.25,0.25,0.0,0.0,0.25,28.09,7.06,1.08141567046545,12.64,85.0,75.0
0.25,0.25,0.0,0.25,0.0,0.25,23.88,5.95,0.885613987015488,10.41,85.0,70.0
0.25,0.0,0.25,0.25,0.0,0.25,24.33,6.42,1.17513406133545,13.79,65.0,70.0
0.0,0.25,0.25,0.25,0.0,0.25,24.13,6.21,1.08849983037164,12.4,80.0,75.0
0.25,0.25,0.0,0.0,0.25,0.25,24.44,6.03,0.908558879858028,9.91,85.0,80.0
0.25,0.0,0.25,0.0,0.25,0.25,24.92,6.56,1.30145407560761,14.0,80.0,70.0
0.0,0.25,0.25,0.0,0.25,0.25,23.17,5.84,1.01368370852621,10.81,80.0,80.0
0.25,0.0,0.0,0.25,0.25,0.25,16.67,4.54,1.06851009380207,11.76,70.0,70.0
0.0,0.25,0.0,0.25,0.25,0.25,10.98,3.1,1.01362853110589,10.42,75.0,55.0
0.0,0.0,0.25,0.25,0.25,0.25,19.19,5.17,1.13350154793691,12.41,75.0,65.0
0.2,0.2,0.2,0.2,0.2,0.0,24.23,6.03,0.975507153222619,10.42,85.0,80.0
0.2,0.2,0.2,0.2,0.0,0.2,26.76,6.74,1.01917258093504,12.09,85.0,75.0
0.2,0.2,0.2,0.0,0.2,0.2,27.64,6.91,1.08058288337879,12.03,85.0,75.0
0.2,0.2,0.0,0.2,0.2,0.2,19.5,4.96,0.908428925643007,9.8,85.0,80.0
0.2,0.0,0.2,0.2,0.2,0.2,24.2,6.28,1.14972987871062,12.73,75.0,75.0
0.0,0.2,0.2,0.2,0.2,0.2,20.01,5.13,0.99765594882205,10.54,90.0,70.0
0.167,0.167,0.167,0.167,0.167,0.167,26.69,6.63,0.998147585233246,11.2,85.0,80.0
1.0,0.0,0.0,0.0,0.0,0.0,1.95,1.34,1.90260785842194,21.86,40.0,60.0
0.0,1.0,0.0,0.0,0.0,0.0,2.38,0.64,1.26328666976097,12.87,65.0,55.0
0.0,0.0,1.0,0.0,0.0,0.0,8.03,2.65,1.89433911474852,20.83,50.0,55.0
0.0,0.0,0.0,1.0,0.0,0.0,-0.67,0.07,1.42545367196926,15.55,35.0,55.0
0.0,0.0,0.0,0.0,1.0,0.0,2.2,0.44,1.09457872420659,10.67,70.0,65.0
0.0,0.0,0.0,0.0,0.0,1.0,-5.34,-1.49,0.859994814225728,8.89,30.0,40.0
0.5,0.5,0.0,0.0,0.0,0.0,6.19,1.63,1.39219244061401,14.41,65.0,55.0
0.5,0.0,0.5,0.0,0.0,0.0,6.17,2.34,1.93911838502618,21.82,50.0,60.0
0.0,0.5,0.5,0.0,0.0,0.0,7.82,1.97,1.35446157422151,13.77,70.0,55.0
0.5,0.0,0.0,0.5,0.0,0.0,6.85,1.9,1.52495734528824,16.28,40.0,55.0
0.0,0.5,0.0,0.5,0.0,0.0,4.73,1.23,1.24737550166848,13.18,65.0,65.0
0.0,0.0,0.5,0.5,0.0,0.0,9.84,2.64,1.59140867642691,16.61,55.0,60.0
0.5,0.0,0.0,0.0,0.5,0.0,2.56,0.74,1.4207594823452,14.6,50.0,55.0
0.0,0.5,0.0,0.0,0.5,0.0,4.6,1.07,1.09153718533456,10.99,75.0,65.0
0.0,0.0,0.5,0.0,0.5,0.0,4.17,1.1,1.41954640636682,14.24,50.0,55.0
0.0,0.0,0.0,0.5,0.5,0.0,3.57,0.95,1.20324449763971,12.94,60.0,65.0
