Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return
0.25,0.25,0.0,0.25,0.25,0.0,1.5,0.98,9.3,70.0,61.3,15.0
0.25,0.0,0.25,0.25,0.25,0.0,1.5,1.08,11.1,66.3,53.8,15.3
0.0,0.25,0.25,0.25,0.25,0.0,1.4,1.05,9.8,67.5,62.5,15.2
0.25,0.25,0.25,0.0,0.0,0.25,2.3,0.97,10.8,68.8,58.8,17.7
0.25,0.25,0.0,0.25,0.0,0.25,2.3,0.86,9.4,67.5,63.8,17.0
0.25,0.0,0.25,0.25,0.0,0.25,1.7,1.04,11.7,65.0,51.3,15.4
0.0,0.25,0.25,0.25,0.0,0.25,2.2,1.0,10.6,71.3,61.3,17.9
0.25,0.25,0.0,0.0,0.25,0.25,2.1,0.83,8.6,75.0,63.8,16.3
0.25,0.0,0.25,0.0,0.25,0.25,1.6,1.03,10.9,70.0,60.0,15.3
0.0,0.25,0.25,0.0,0.25,0.25,1.9,0.93,9.2,70.0,62.5,16.4
0.25,0.0,0.0,0.25,0.25,0.25,1.2,0.89,9.1,67.5,52.5,12.9
0.0,0.25,0.0,0.25,0.25,0.25,1.2,1.01,9.7,65.0,56.3,14.0
0.0,0.0,0.25,0.25,0.25,0.25,1.3,0.97,9.9,67.5,53.8,13.8
0.2,0.2,0.2,0.2,0.2,0.0,2.0,1.01,10.2,71.3,60.0,17.2
0.2,0.2,0.2,0.2,0.0,0.2,2.3,0.96,10.5,67.5,57.5,18.1
0.2,0.2,0.2,0.0,0.2,0.2,2.2,0.94,10.0,70.0,63.8,17.1
0.2,0.2,0.0,0.2,0.2,0.2,1.8,0.88,8.7,72.5,63.8,15.3
0.2,0.0,0.2,0.2,0.2,0.2,1.8,0.97,10.4,66.3,52.5,15.6
0.0,0.2,0.2,0.2,0.2,0.2,1.8,0.98,9.4,68.8,66.3,16.1
0.167,0.167,0.167,0.167,0.167,0.167,2.2,0.91,9.5,71.3,66.3,17.3
1.0,0.0,0.0,0.0,0.0,0.0,2.08,0.975575441443917,8.14,80.0,60.0,25.54
0.0,1.0,0.0,0.0,0.0,0.0,0.4,1.3508010269013,7.75,85.0,75.0,24.96
0.0,0.0,1.0,0.0,0.0,0.0,1.35,1.04000630544822,8.78,80.0,40.0,23.12
0.0,0.0,0.0,1.0,0.0,0.0,-0.26,1.29189867529464,8.86,70.0,60.0,20.38
0.0,0.0,0.0,0.0,1.0,0.0,-0.08,0.974705620441101,4.61,80.0,45.0,16.38
0.0,0.0,0.0,0.0,0.0,1.0,-0.72,1.2270745811143,8.07,75.0,50.0,17.35
0.5,0.5,0.0,0.0,0.0,0.0,2.46,1.06069011326896,6.49,90.0,70.0,29.49
0.5,0.0,0.5,0.0,0.0,0.0,1.96,1.01039683373859,8.34,80.0,50.0,25.59
0.0,0.5,0.5,0.0,0.0,0.0,1.24,1.13802797593774,7.72,75.0,65.0,24.82
0.5,0.0,0.0,0.5,0.0,0.0,1.89,0.850334931122146,5.98,85.0,55.0,22.76
0.0,0.5,0.0,0.5,0.0,0.0,0.7,1.3518604207393,8.49,80.0,70.0,26.13
0.0,0.0,0.5,0.5,0.0,0.0,1.71,0.912782533000923,7.18,80.0,60.0,22.83
0.5,0.0,0.0,0.0,0.5,0.0,1.54,1.01514679558228,5.73,85.0,70.0,24.39
0.0,0.5,0.0,0.0,0.5,0.0,-0.74,1.26458869819601,6.29,70.0,55.0,18.45
0.0,0.0,0.5,0.0,0.5,0.0,1.26,0.934076431794567,5.72,85.0,55.0,21.53
0.0,0.0,0.0,0.5,0.5,0.0,-0.97,1.18650638292965,6.2,70.0,45.0,15.96
0.5,0.0,0.0,0.0,0.0,0.5,2.07,0.878797972589126,7.27,90.0,50.0,23.85
0.0,0.5,0.0,0.0,0.0,0.5,0.73,1.41678691342888,8.7,85.0,80.0,27.56
0.0,0.0,0.5,0.0,0.0,0.5,1.47,1.02005250189985,8.09,80.0,60.0,23.51
0.0,0.0,0.0,0.5,0.0,0.5,-0.61,1.28893460549828,8.95,75.0,55.0,18.67
0.0,0.0,0.0,0.0,0.5,0.5,-0.15,1.10008492646388,5.48,70.0,60.0,18.25
0.333,0.333,0.333,0.0,0.0,0.0,2.27,1.09153976143718,7.13,80.0,75.0,29.01
0.333,0.333,0.0,0.333,0.0,0.0,1.73,1.00748445566034,6.63,80.0,55.0,24.91
0.333,0.0,0.333,0.333,0.0,0.0,1.71,0.960763718635896,7.19,85.0,60.0,23.77
0.0,0.333,0.333,0.333,0.0,0.0,1.36,1.16027555171043,7.77,80.0,65.0,25.81
0.333,0.333,0.0,0.0,0.333,0.0,0.38,1.1796842420917,5.96,75.0,60.0,22.07
0.333,0.0,0.333,0.0,0.333,0.0,2.18,0.924903302306591,6.27,80.0,60.0,25.53
0.0,0.333,0.333,0.0,0.333,0.0,0.25,1.16564735742934,6.28,70.0,55.0,21.13
0.333,0.0,0.0,0.333,0.333,0.0,1.0,0.84484114462693,4.77,80.0,50.0,18.81
0.0,0.333,0.0,0.333,0.333,0.0,-0.42,1.31216411337097,7.06,70.0,55.0,20.61
0.0,0.0,0.333,0.333,0.333,0.0,1.09,0.834788659780413,5.14,80.0,55.0,18.94
0.333,0.333,0.0,0.0,0.0,0.333,2.46,1.00845689663209,6.88,80.0,65.0,28.35
0.333,0.0,0.333,0.0,0.0,0.333,1.85,0.984688011707386,7.87,80.0,55.0,24.73
0.0,0.333,0.333,0.0,0.0,0.333,1.62,1.18977820979162,8.09,80.0,60.0,27.56
0.333,0.0,0.0,0.333,0.0,0.333,1.54,0.908043902930134,6.89,80.0,65.0,22.04
0.0,0.333,0.0,0.333,0.0,0.333,0.7,1.31770633107793,8.56,75.0,75.0,25.45
0.0,0.0,0.333,0.333,0.0,0.333,1.5,1.03542344088605,7.93,75.0,60.0,23.98
0.333,0.0,0.0,0.0,0.333,0.333,2.02,0.944525367918216,6.48,85.0,60.0,25.08
0.0,0.333,0.0,0.0,0.333,0.333,-0.08,1.32243611708652,7.03,70.0,70.0,22.41
0.0,0.0,0.333,0.0,0.333,0.333,1.58,0.94028794365477,6.89,80.0,55.0,22.82
0.0,0.0,0.0,0.333,0.333,0.333,-0.87,1.1778657534151,7.36,65.0,50.0,15.95
0.25,0.25,0.25,0.25,0.0,0.0,1.89,1.06778241495105,7.31,75.0,65.0,26.67
0.25,0.25,0.25,0.0,0.25,0.0,1.31,1.10571205592423,6.13,85.0,65.0,25.0
0.25,0.25,0.0,0.25,0.25,0.0,0.34,1.09908097595925,5.81,70.0,60.0,20.38
0.25,0.0,0.25,0.25,0.25,0.0,1.87,0.831234362982992,5.41,80.0,60.0,22.4
0.0,0.25,0.25,0.25,0.25,0.0,0.34,1.12619405623448,6.31,80.0,70.0,20.79
0.25,0.25,0.25,0.0,0.0,0.25,2.35,1.04516309197912,7.59,80.0,55.0,28.35
0.25,0.25,0.0,0.25,0.0,0.25,2.17,0.964960025148597,6.86,80.0,65.0,26.07
0.25,0.0,0.25,0.25,0.0,0.25,1.98,0.89863075154618,7.56,80.0,65.0,23.69
0.0,0.25,0.25,0.25,0.0,0.25,2.02,1.10937735969351,7.96,85.0,70.0,27.88
0.25,0.25,0.0,0.0,0.25,0.25,1.76,1.04847813340484,5.79,90.0,75.0,26.05
0.25,0.0,0.25,0.0,0.25,0.25,2.26,0.940957638434705,6.74,85.0,65.0,26.1
0.0,0.25,0.25,0.0,0.25,0.25,0.98,1.19160037069108,7.08,80.0,60.0,24.83
0.25,0.0,0.0,0.25,0.25,0.25,1.39,0.784163442238522,5.0,80.0,55.0,19.38
0.0,0.25,0.0,0.25,0.25,0.25,0.0,1.31477580349665,7.73,75.0,70.0,22.37
0.0,0.0,0.25,0.25,0.25,0.25,1.24,0.899535387228409,6.5,80.0,50.0,20.58
0.2,0.2,0.2,0.2,0.2,0.0,1.4,0.991586187605168,5.78,80.0,65.0,23.24
0.2,0.2,0.2,0.2,0.0,0.2,2.59,0.933934700048325,7.34,80.0,60.0,27.36
0.2,0.2,0.2,0.0,0.2,0.2,2.05,1.06943441910604,6.6,80.0,65.0,27.65
0.2,0.2,0.0,0.2,0.2,0.2,1.16,1.04368419794708,6.05,80.0,70.0,23.07
0.2,0.0,0.2,0.2,0.2,0.2,2.29,0.794886765926057,6.29,80.0,55.0,23.47
0.0,0.2,0.2,0.2,0.2,0.2,1.13,1.12511412177859,6.77,80.0,80.0,24.29
0.167,0.167,0.167,0.167,0.167,0.167,1.82,0.941707523942642,6.07,80.0,70.0,24.16
1.0,0.0,0.0,0.0,0.0,0.0,-1.59,0.736939118061755,9.59,60.0,30.0,7.7
0.0,1.0,0.0,0.0,0.0,0.0,-1.74,1.16984069330904,10.3,70.0,40.0,16.75
0.0,0.0,1.0,0.0,0.0,0.0,-2.6,1.04922101726706,11.13,55.0,30.0,9.76
0.0,0.0,0.0,1.0,0.0,0.0,-1.68,1.4389158674478,16.43,70.0,40.0,20.34
0.0,0.0,0.0,0.0,1.0,0.0,-0.89,1.01698257722442,7.94,85.0,25.0,17.85
0.0,0.0,0.0,0.0,0.0,1.0,-3.28,1.10807323220207,10.67,55.0,40.0,8.36
0.5,0.5,0.0,0.0,0.0,0.0,-0.18,0.754226231908235,9.13,70.0,35.0,14.39
0.5,0.0,0.5,0.0,0.0,0.0,-2.45,0.971649447798019,11.16,55.0,30.0,8.65
0.0,0.5,0.5,0.0,0.0,0.0,-1.54,1.02158663943514,10.09,60.0,40.0,14.22
0.5,0.0,0.0,0.5,0.0,0.0,-0.53,0.680928616221562,8.78,65.0,40.0,11.22
0.0,0.5,0.0,0.5,0.0,0.0,-0.99,1.2948600557805,12.81,65.0,40.0,22.03
0.0,0.0,0.5,0.5,0.0,0.0,-2.19,1.05491561523588,10.72,65.0,25.0,11.82
0.5,0.0,0.0,0.0,0.5,0.0,-0.71,0.739862524600847,8.05,70.0,25.0,12.1
0.0,0.5,0.0,0.0,0.5,0.0,-1.17,1.1024392488103,8.95,65.0,45.0,18.26
0.0,0.0,0.5,0.0,0.5,0.0,-1.44,0.96412601811546,9.05,65.0,30.0,13.72
0.0,0.0,0.0,0.5,0.5,0.0,-1.47,1.21266136040627,11.43,75.0,25.0,18.55
0.5,0.0,0.0,0.0,0.0,0.5,-1.83,0.746329999703915,9.37,55.0,30.0,7.01
0.0,0.5,0.0,0.0,0.0,0.5,-1.47,1.06262868929149,10.48,60.0,40.0,15.3
0.0,0.0,0.5,0.0,0.0,0.5,-2.63,1.01274070355523,10.93,55.0,30.0,8.86
0.0,0.0,0.0,0.5,0.0,0.5,-1.62,1.18198559660819,14.43,60.0,40.0,15.47
0.0,0.0,0.0,0.0,0.5,0.5,-2.04,1.05664430620391,8.96,65.0,30.0,13.27
0.333,0.333,0.333,0.0,0.0,0.0,-1.33,0.87802061559013,10.22,60.0,35.0,11.77
0.333,0.333,0.0,0.333,0.0,0.0,-0.32,0.891597203642691,9.91,65.0,35.0,16.66
0.333,0.0,0.333,0.333,0.0,0.0,-1.32,0.833827479498978,9.94,65.0,25.0,10.9
0.0,0.333,0.333,0.333,0.0,0.0,-0.91,1.04933835280926,10.59,65.0,35.0,17.45
0.333,0.333,0.0,0.0,0.333,0.0,-0.79,0.824096842312878,8.16,70.0,35.0,13.65
0.333,0.0,0.333,0.0,0.333,0.0,-1.67,0.93617761010595,9.86,65.0,25.0,11.75
0.0,0.333,0.333,0.0,0.333,0.0,-1.72,1.03799842883997,9.31,65.0,30.0,14.12
0.333,0.0,0.0,0.333,0.333,0.0,-0.7,0.746758539131361,8.0,70.0,30.0,12.3
0.0,0.333,0.0,0.333,0.333,0.0,-1.3,1.24483866329054,11.0,75.0,40.0,20.28
0.0,0.0,0.333,0.333,0.333,0.0,-1.84,0.973875915463223,8.96,60.0,30.0,12.18
0.333,0.333,0.0,0.0,0.0,0.333,-0.8,0.78439633911899,9.56,70.0,35.0,12.16
0.333,0.0,0.333,0.0,0.0,0.333,-2.55,0.91337224407955,10.77,50.0,35.0,7.1
0.0,0.333,0.333,0.0,0.0,0.333,-1.42,1.04190829067855,10.69,60.0,40.0,14.94
0.333,0.0,0.0,0.333,0.0,0.333,-0.96,0.780742222435431,9.24,60.0,35.0,11.51
0.0,0.333,0.0,0.333,0.0,0.333,-0.81,1.13342242514908,11.6,65.0,40.0,19.47
0.0,0.0,0.333,0.333,0.0,0.333,-1.57,1.03865808765484,11.0,60.0,35.0,14.04
0.333,0.0,0.0,0.0,0.333,0.333,-1.08,0.725620036282203,8.68,65.0,30.0,9.95
0.0,0.333,0.0,0.0,0.333,0.333,-1.54,1.15966514835343,9.71,65.0,50.0,17.67
0.0,0.0,0.333,0.0,0.333,0.333,-2.32,1.02353222142843,10.26,60.0,30.0,10.75
0.0,0.0,0.0,0.333,0.333,0.333,-1.78,1.33260004815273,13.56,60.0,35.0,19.03
0.25,0.25,0.25,0.25,0.0,0.0,-1.03,0.900159240861221,9.88,65.0,30.0,13.7
0.25,0.25,0.25,0.0,0.25,0.0,-1.16,0.874285704241262,9.2,65.0,35.0,12.8
0.25,0.25,0.0,0.25,0.25,0.0,-0.59,0.952110264178381,9.05,70.0,35.0,17.23
0.25,0.0,0.25,0.25,0.25,0.0,-1.54,0.82174432234448,8.64,60.0,25.0,10.14
0.0,0.25,0.25,0.25,0.25,0.0,-1.43,1.14913488514914,10.02,60.0,40.0,17.78
0.25,0.25,0.25,0.0,0.0,0.25,-1.28,0.88630861495049,10.61,60.0,35.0,11.99
0.25,0.25,0.0,0.25,0.0,0.25,0.02,0.801211447249687,9.42,65.0,45.0,16.21
0.25,0.0,0.25,0.25,0.0,0.25,-1.66,0.885673561661748,10.58,50.0,25.0,10.36
0.0,0.25,0.25,0.25,0.0,0.25,-1.2,1.03281216919258,10.67,65.0,35.0,15.67
0.25,0.25,0.0,0.0,0.25,0.25,-0.7,0.836850998385763,9.44,75.0,40.0,13.89
0.25,0.0,0.25,0.0,0.25,0.25,-1.96,0.919782099694458,10.15,65.0,35.0,10.03
0.0,0.25,0.25,0.0,0.25,0.25,-1.36,1.01420285374127,9.7,65.0,45.0,14.98
0.25,0.0,0.0,0.25,0.25,0.25,-0.79,0.804670862365341,8.54,65.0,20.0,13.06
0.0,0.25,0.0,0.25,0.25,0.25,-0.51,1.16365777670092,11.04,65.0,40.0,21.92
0.0,0.0,0.25,0.25,0.25,0.25,-1.66,0.96274753765473,9.55,65.0,35.0,12.48
0.2,0.2,0.2,0.2,0.2,0.0,-1.06,0.902265557095482,9.29,70.0,30.0,13.87
0.2,0.2,0.2,0.2,0.0,0.2,-0.9,0.895338519091244,10.04,60.0,30.0,14.11
0.2,0.2,0.2,0.0,0.2,0.2,-1.55,0.91270622447465,10.11,70.0,40.0,11.64
0.2,0.2,0.0,0.2,0.2,0.2,-0.72,0.930771321318357,9.2,70.0,40.0,16.06
0.2,0.0,0.2,0.2,0.2,0.2,-1.31,0.853121554164011,9.71,55.0,30.0,11.47
0.0,0.2,0.2,0.2,0.2,0.2,-1.3,1.09642607605322,10.05,65.0,30.0,17.03
0.167,0.167,0.167,0.167,0.167,0.167,-1.11,0.910100800805274,9.5,70.0,35.0,13.73
1.0,0.0,0.0,0.0,0.0,0.0,6.29,1.58044040356646,16.44,65.0,80.0,22.18
0.0,1.0,0.0,0.0,0.0,0.0,3.99,1.20756114947585,12.08,55.0,80.0,14.24
0.0,0.0,1.0,0.0,0.0,0.0,7.62,1.31686207007236,14.78,65.0,85.0,29.57
0.0,0.0,0.0,1.0,0.0,0.0,1.25,1.43796367969383,15.97,50.0,55.0,0.21
0.0,0.0,0.0,0.0,1.0,0.0,1.23,1.10928734225536,10.45,60.0,75.0,3.05
0.0,0.0,0.0,0.0,0.0,1.0,3.14,1.47953852985436,15.19,55.0,65.0,8.83
0.5,0.5,0.0,0.0,0.0,0.0,7.16,0.902055261328428,10.25,80.0,85.0,29.75
0.5,0.0,0.5,0.0,0.0,0.0,7.14,1.36887979640848,15.28,65.0,75.0,26.86
0.0,0.5,0.5,0.0,0.0,0.0,6.96,1.04927138382189,11.51,80.0,85.0,28.23
0.5,0.0,0.0,0.5,0.0,0.0,5.33,1.10871549054225,12.28,75.0,70.0,20.03
0.0,0.5,0.0,0.5,0.0,0.0,3.4,1.05805568485851,11.2,60.0,80.0,11.94
0.0,0.0,0.5,0.5,0.0,0.0,6.39,1.18958930293802,13.51,70.0,85.0,24.25
0.5,0.0,0.0,0.0,0.5,0.0,4.92,1.21834036559764,12.35,70.0,85.0,18.15
0.0,0.5,0.0,0.0,0.5,0.0,2.42,0.916896278879272,8.74,60.0,90.0,8.65
0.0,0.0,0.5,0.0,0.5,0.0,5.09,1.02851719792512,10.98,75.0,90.0,19.54
0.0,0.0,0.0,0.5,0.5,0.0,0.49,1.1419565597091,11.95,55.0,70.0,-0.72
0.5,0.0,0.0,0.0,0.0,0.5,5.71,1.36470891519764,14.57,65.0,75.0,20.64
0.0,0.5,0.0,0.0,0.0,0.5,5.27,1.10465895420441,12.0,65.0,80.0,20.03
0.0,0.0,0.5,0.0,0.0,0.5,6.23,1.28611536585045,14.6,65.0,70.0,22.92
0.0,0.0,0.0,0.5,0.0,0.5,2.66,1.27420997455208,14.37,55.0,50.0,7.15
0.0,0.0,0.0,0.0,0.5,0.5,2.07,1.31196999833117,12.64,60.0,65.0,5.61
0.333,0.333,0.333,0.0,0.0,0.0,7.4,1.06721770622364,12.06,85.0,85.0,30.01
0.333,0.333,0.0,0.333,0.0,0.0,6.37,0.862257181782766,9.71,85.0,90.0,26.16
0.333,0.0,0.333,0.333,0.0,0.0,6.52,1.14621140883728,12.87,75.0,70.0,25.29
0.0,0.333,0.333,0.333,0.0,0.0,5.88,1.02522694148741,11.28,80.0,80.0,23.14
0.333,0.333,0.0,0.0,0.333,0.0,4.9,0.865789536678537,9.29,80.0,85.0,19.41
0.333,0.0,0.333,0.0,0.333,0.0,6.29,1.22205461371747,13.07,70.0,90.0,24.11
0.0,0.333,0.333,0.0,0.333,0.0,4.81,0.889621833936658,9.33,80.0,90.0,19.0
0.333,0.0,0.0,0.333,0.333,0.0,4.05,1.02623592478609,10.34,65.0,80.0,15.17
0.0,0.333,0.0,0.333,0.333,0.0,1.78,0.95005973510497,9.44,60.0,80.0,5.69
0.0,0.0,0.333,0.333,0.333,0.0,4.39,1.03267545378547,10.64,70.0,90.0,16.55
0.333,0.333,0.0,0.0,0.0,0.333,6.82,0.894291581740562,10.6,80.0,80.0,27.94
0.333,0.0,0.333,0.0,0.0,0.333,6.52,1.31297562727847,14.66,65.0,70.0,24.29
0.0,0.333,0.333,0.0,0.0,0.333,7.18,1.09791237160339,12.45,75.0,80.0,28.8
0.333,0.0,0.0,0.333,0.0,0.333,4.39,1.04815140483215,11.92,70.0,65.0,15.93
0.0,0.333,0.0,0.333,0.0,0.333,4.43,0.961474065301305,10.97,65.0,75.0,16.64
0.0,0.0,0.333,0.333,0.0,0.333,5.78,1.20118270306259,13.78,70.0,70.0,21.28
0.333,0.0,0.0,0.0,0.333,0.333,5.5,1.37968626091211,14.15,70.0,80.0,19.84
0.0,0.333,0.0,0.0,0.333,0.333,3.63,0.990142126972353,9.71,55.0,85.0,13.61
0.0,0.0,0.333,0.0,0.333,0.333,5.96,1.1839961819191,12.94,70.0,75.0,22.65
0.0,0.0,0.0,0.333,0.333,0.333,1.2,1.3091877304767,14.06,50.0,50.0,1.16
0.25,0.25,0.25,0.25,0.0,0.0,6.84,1.02802871894279,11.64,85.0,85.0,27.5
0.25,0.25,0.25,0.0,0.25,0.0,6.39,1.0284686868621,11.08,80.0,90.0,25.62
0.25,0.25,0.0,0.25,0.25,0.0,4.21,0.887199273376654,9.12,75.0,85.0,16.35
0.25,0.0,0.25,0.25,0.25,0.0,5.92,1.08146677439444,11.58,70.0,85.0,23.07
0.0,0.25,0.25,0.25,0.25,0.0,4.18,0.915069481971682,9.4,70.0,85.0,16.12
0.25,0.25,0.25,0.0,0.0,0.25,7.06,1.08141567046545,12.64,75.0,85.0,28.09
0.25,0.25,0.0,0.25,0.0,0.25,5.95,0.885613987015488,10.41,70.0,85.0,23.88
0.25,0.0,0.25,0.25,0.0,0.25,6.42,1.17513406133545,13.79,70.0,65.0,24.33
0.0,0.25,0.25,0.25,0.0,0.25,6.21,1.08849983037164,12.4,75.0,80.0,24.13
0.25,0.25,0.0,0.0,0.25,0.25,6.03,0.908558879858028,9.91,80.0,85.0,24.44
0.25,0.0,0.25,0.0,0.25,0.25,6.56,1.30145407560761,14.0,70.0,80.0,24.92
0.0,0.25,0.25,0.0,0.25,0.25,5.84,1.01368370852621,10.81,80.0,80.0,23.17
0.25,0.0,0.0,0.25,0.25,0.25,4.54,1.06851009380207,11.76,70.0,70.0,16.67
0.0,0.25,0.0,0.25,0.25,0.25,3.1,1.01362853110589,10.42,55.0,75.0,10.98
0.0,0.0,0.25,0.25,0.25,0.25,5.17,1.13350154793691,12.41,65.0,75.0,19.19
0.2,0.2,0.2,0.2,0.2,0.0,6.03,0.975507153222619,10.42,80.0,85.0,24.23
0.2,0.2,0.2,0.2,0.0,0.2,6.74,1.01917258093504,12.09,75.0,85.0,26.76
0.2,0.2,0.2,0.0,0.2,0.2,6.91,1.08058288337879,12.03,75.0,85.0,27.64
0.2,0.2,0.0,0.2,0.2,0.2,4.96,0.908428925643007,9.8,80.0,85.0,19.5
0.2,0.0,0.2,0.2,0.2,0.2,6.28,1.14972987871062,12.73,75.0,75.0,24.2
0.0,0.2,0.2,0.2,0.2,0.2,5.13,0.99765594882205,10.54,70.0,90.0,20.01
0.167,0.167,0.167,0.167,0.167,0.167,6.63,0.998147585233246,11.2,80.0,85.0,26.69
1.0,0.0,0.0,0.0,0.0,0.0,1.34,1.90260785842194,21.86,60.0,40.0,1.95
0.0,1.0,0.0,0.0,0.0,0.0,0.64,1.26328666976097,12.87,55.0,65.0,2.38
0.0,0.0,1.0,0.0,0.0,0.0,2.65,1.89433911474852,20.83,55.0,50.0,8.03
0.0,0.0,0.0,1.0,0.0,0.0,0.07,1.42545367196926,15.55,55.0,35.0,-0.67
0.0,0.0,0.0,0.0,1.0,0.0,0.44,1.09457872420659,10.67,65.0,70.0,2.2
0.0,0.0,0.0,0.0,0.0,1.0,-1.49,0.859994814225728,8.89,40.0,30.0,-5.34
0.5,0.5,0.0,0.0,0.0,0.0,1.63,1.39219244061401,14.41,55.0,65.0,6.19
0.5,0.0,0.5,0.0,0.0,0.0,2.34,1.93911838502618,21.82,60.0,50.0,6.17
0.0,0.5,0.5,0.0,0.0,0.0,1.97,1.35446157422151,13.77,55.0,70.0,7.82
0.5,0.0,0.0,0.5,0.0,0.0,1.9,1.52495734528824,16.28,55.0,40.0,6.85
0.0,0.5,0.0,0.5,0.0,0.0,1.23,1.24737550166848,13.18,65.0,65.0,4.73
0.0,0.0,0.5,0.5,0.0,0.0,2.64,1.59140867642691,16.61,60.0,55.0,9.84
0.5,0.0,0.0,0.0,0.5,0.0,0.74,1.4207594823452,14.6,55.0,50.0,2.56
0.0,0.5,0.0,0.0,0.5,0.0,1.07,1.09153718533456,10.99,65.0,75.0,4.6
0.0,0.0,0.5,0.0,0.5,0.0,1.1,1.41954640636682,14.24,55.0,50.0,4.17
0.0,0.0,0.0,0.5,0.5,0.0,0.95,1.20324449763971,12.94,65.0,60.0,3.57
