Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Total Risk,Abs. Win Rate,Rel. Win Rate,Systematic Risk
0.0,0.2,0.2,0.2,0.2,0.2,16.1,1.8,9.4,68.8,66.3,0.98
0.167,0.167,0.167,0.167,0.167,0.167,17.3,2.2,9.5,71.3,66.3,0.91
1.0,0.0,0.0,0.0,0.0,0.0,25.54,2.08,8.14,80.0,60.0,0.975575441443917
0.0,1.0,0.0,0.0,0.0,0.0,24.96,0.4,7.75,85.0,75.0,1.3508010269013
0.0,0.0,1.0,0.0,0.0,0.0,23.12,1.35,8.78,80.0,40.0,1.04000630544822
0.0,0.0,0.0,1.0,0.0,0.0,20.38,-0.26,8.86,70.0,60.0,1.29189867529464
0.0,0.0,0.0,0.0,1.0,0.0,16.38,-0.08,4.61,80.0,45.0,0.974705620441101
0.0,0.0,0.0,0.0,0.0,1.0,17.35,-0.72,8.07,75.0,50.0,1.2270745811143
0.5,0.5,0.0,0.0,0.0,0.0,29.49,2.46,6.49,90.0,70.0,1.06069011326896
0.5,0.0,0.5,0.0,0.0,0.0,25.59,1.96,8.34,80.0,50.0,1.01039683373859
0.0,0.5,0.5,0.0,0.0,0.0,24.82,1.24,7.72,75.0,65.0,1.13802797593774
0.5,0.0,0.0,0.5,0.0,0.0,22.76,1.89,5.98,85.0,55.0,0.850334931122146
0.0,0.5,0.0,0.5,0.0,0.0,26.13,0.7,8.49,80.0,70.0,1.3518604207393
0.0,0.0,0.5,0.5,0.0,0.0,22.83,1.71,7.18,80.0,60.0,0.912782533000923
0.5,0.0,0.0,0.0,0.5,0.0,24.39,1.54,5.73,85.0,70.0,1.01514679558228
0.0,0.5,0.0,0.0,0.5,0.0,18.45,-0.74,6.29,70.0,55.0,1.26458869819601
0.0,0.0,0.5,0.0,0.5,0.0,21.53,1.26,5.72,85.0,55.0,0.934076431794567
0.0,0.0,0.0,0.5,0.5,0.0,15.96,-0.97,6.2,70.0,45.0,1.18650638292965
0.5,0.0,0.0,0.0,0.0,0.5,23.85,2.07,7.27,90.0,50.0,0.878797972589126
0.0,0.5,0.0,0.0,0.0,0.5,27.56,0.73,8.7,85.0,80.0,1.41678691342888
0.0,0.0,0.5,0.0,0.0,0.5,23.51,1.47,8.09,80.0,60.0,1.02005250189985
0.0,0.0,0.0,0.5,0.0,0.5,18.67,-0.61,8.95,75.0,55.0,1.28893460549828
0.0,0.0,0.0,0.0,0.5,0.5,18.25,-0.15,5.48,70.0,60.0,1.10008492646388
0.333,0.333,0.333,0.0,0.0,0.0,29.01,2.27,7.13,80.0,75.0,1.09153976143718
0.333,0.333,0.0,0.333,0.0,0.0,24.91,1.73,6.63,80.0,55.0,1.00748445566034
0.333,0.0,0.333,0.333,0.0,0.0,23.77,1.71,7.19,85.0,60.0,0.960763718635896
0.0,0.333,0.333,0.333,0.0,0.0,25.81,1.36,7.77,80.0,65.0,1.16027555171043
0.333,0.333,0.0,0.0,0.333,0.0,22.07,0.38,5.96,75.0,60.0,1.1796842420917
0.333,0.0,0.333,0.0,0.333,0.0,25.53,2.18,6.27,80.0,60.0,0.924903302306591
0.0,0.333,0.333,0.0,0.333,0.0,21.13,0.25,6.28,70.0,55.0,1.16564735742934
0.333,0.0,0.0,0.333,0.333,0.0,18.81,1.0,4.77,80.0,50.0,0.84484114462693
0.0,0.333,0.0,0.333,0.333,0.0,20.61,-0.42,7.06,70.0,55.0,1.31216411337097
0.0,0.0,0.333,0.333,0.333,0.0,18.94,1.09,5.14,80.0,55.0,0.834788659780413
0.333,0.333,0.0,0.0,0.0,0.333,28.35,2.46,6.88,80.0,65.0,1.00845689663209
0.333,0.0,0.333,0.0,0.0,0.333,24.73,1.85,7.87,80.0,55.0,0.984688011707386
0.0,0.333,0.333,0.0,0.0,0.333,27.56,1.62,8.09,80.0,60.0,1.18977820979162
0.333,0.0,0.0,0.333,0.0,0.333,22.04,1.54,6.89,80.0,65.0,0.908043902930134
0.0,0.333,0.0,0.333,0.0,0.333,25.45,0.7,8.56,75.0,75.0,1.31770633107793
0.0,0.0,0.333,0.333,0.0,0.333,23.98,1.5,7.93,75.0,60.0,1.03542344088605
0.333,0.0,0.0,0.0,0.333,0.333,25.08,2.02,6.48,85.0,60.0,0.944525367918216
0.0,0.333,0.0,0.0,0.333,0.333,22.41,-0.08,7.03,70.0,70.0,1.32243611708652
0.0,0.0,0.333,0.0,0.333,0.333,22.82,1.58,6.89,80.0,55.0,0.94028794365477
0.0,0.0,0.0,0.333,0.333,0.333,15.95,-0.87,7.36,65.0,50.0,1.1778657534151
0.25,0.25,0.25,0.25,0.0,0.0,26.67,1.89,7.31,75.0,65.0,1.06778241495105
0.25,0.25,0.25,0.0,0.25,0.0,25.0,1.31,6.13,85.0,65.0,1.10571205592423
0.25,0.25,0.0,0.25,0.25,0.0,20.38,0.34,5.81,70.0,60.0,1.09908097595925
0.25,0.0,0.25,0.25,0.25,0.0,22.4,1.87,5.41,80.0,60.0,0.831234362982992
0.0,0.25,0.25,0.25,0.25,0.0,20.79,0.34,6.31,80.0,70.0,1.12619405623448
0.25,0.25,0.25,0.0,0.0,0.25,28.35,2.35,7.59,80.0,55.0,1.04516309197912
0.25,0.25,0.0,0.25,0.0,0.25,26.07,2.17,6.86,80.0,65.0,0.964960025148597
0.25,0.0,0.25,0.25,0.0,0.25,23.69,1.98,7.56,80.0,65.0,0.89863075154618
0.0,0.25,0.25,0.25,0.0,0.25,27.88,2.02,7.96,85.0,70.0,1.10937735969351
0.25,0.25,0.0,0.0,0.25,0.25,26.05,1.76,5.79,90.0,75.0,1.04847813340484
0.25,0.0,0.25,0.0,0.25,0.25,26.1,2.26,6.74,85.0,65.0,0.940957638434705
0.0,0.25,0.25,0.0,0.25,0.25,24.83,0.98,7.08,80.0,60.0,1.19160037069108
0.25,0.0,0.0,0.25,0.25,0.25,19.38,1.39,5.0,80.0,55.0,0.784163442238522
0.0,0.25,0.0,0.25,0.25,0.25,22.37,0.0,7.73,75.0,70.0,1.31477580349665
0.0,0.0,0.25,0.25,0.25,0.25,20.58,1.24,6.5,80.0,50.0,0.899535387228409
0.2,0.2,0.2,0.2,0.2,0.0,23.24,1.4,5.78,80.0,65.0,0.991586187605168
0.2,0.2,0.2,0.2,0.0,0.2,27.36,2.59,7.34,80.0,60.0,0.933934700048325
0.2,0.2,0.2,0.0,0.2,0.2,27.65,2.05,6.6,80.0,65.0,1.06943441910604
0.2,0.2,0.0,0.2,0.2,0.2,23.07,1.16,6.05,80.0,70.0,1.04368419794708
0.2,0.0,0.2,0.2,0.2,0.2,23.47,2.29,6.29,80.0,55.0,0.794886765926057
0.0,0.2,0.2,0.2,0.2,0.2,24.29,1.13,6.77,80.0,80.0,1.12511412177859
0.167,0.167,0.167,0.167,0.167,0.167,24.16,1.82,6.07,80.0,70.0,0.941707523942642
1.0,0.0,0.0,0.0,0.0,0.0,7.7,-1.59,9.59,60.0,30.0,0.736939118061755
0.0,1.0,0.0,0.0,0.0,0.0,16.75,-1.74,10.3,70.0,40.0,1.16984069330904
0.0,0.0,1.0,0.0,0.0,0.0,9.76,-2.6,11.13,55.0,30.0,1.04922101726706
0.0,0.0,0.0,1.0,0.0,0.0,20.34,-1.68,16.43,70.0,40.0,1.4389158674478
0.0,0.0,0.0,0.0,1.0,0.0,17.85,-0.89,7.94,85.0,25.0,1.01698257722442
0.0,0.0,0.0,0.0,0.0,1.0,8.36,-3.28,10.67,55.0,40.0,1.10807323220207
0.5,0.5,0.0,0.0,0.0,0.0,14.39,-0.18,9.13,70.0,35.0,0.754226231908235
0.5,0.0,0.5,0.0,0.0,0.0,8.65,-2.45,11.16,55.0,30.0,0.971649447798019
0.0,0.5,0.5,0.0,0.0,0.0,14.22,-1.54,10.09,60.0,40.0,1.02158663943514
0.5,0.0,0.0,0.5,0.0,0.0,11.22,-0.53,8.78,65.0,40.0,0.680928616221562
0.0,0.5,0.0,0.5,0.0,0.0,22.03,-0.99,12.81,65.0,40.0,1.2948600557805
0.0,0.0,0.5,0.5,0.0,0.0,11.82,-2.19,10.72,65.0,25.0,1.05491561523588
0.5,0.0,0.0,0.0,0.5,0.0,12.1,-0.71,8.05,70.0,25.0,0.739862524600847
0.0,0.5,0.0,0.0,0.5,0.0,18.26,-1.17,8.95,65.0,45.0,1.1024392488103
0.0,0.0,0.5,0.0,0.5,0.0,13.72,-1.44,9.05,65.0,30.0,0.96412601811546
0.0,0.0,0.0,0.5,0.5,0.0,18.55,-1.47,11.43,75.0,25.0,1.21266136040627
0.5,0.0,0.0,0.0,0.0,0.5,7.01,-1.83,9.37,55.0,30.0,0.746329999703915
0.0,0.5,0.0,0.0,0.0,0.5,15.3,-1.47,10.48,60.0,40.0,1.06262868929149
0.0,0.0,0.5,0.0,0.0,0.5,8.86,-2.63,10.93,55.0,30.0,1.01274070355523
0.0,0.0,0.0,0.5,0.0,0.5,15.47,-1.62,14.43,60.0,40.0,1.18198559660819
0.0,0.0,0.0,0.0,0.5,0.5,13.27,-2.04,8.96,65.0,30.0,1.05664430620391
0.333,0.333,0.333,0.0,0.0,0.0,11.77,-1.33,10.22,60.0,35.0,0.87802061559013
0.333,0.333,0.0,0.333,0.0,0.0,16.66,-0.32,9.91,65.0,35.0,0.891597203642691
0.333,0.0,0.333,0.333,0.0,0.0,10.9,-1.32,9.94,65.0,25.0,0.833827479498978
0.0,0.333,0.333,0.333,0.0,0.0,17.45,-0.91,10.59,65.0,35.0,1.04933835280926
0.333,0.333,0.0,0.0,0.333,0.0,13.65,-0.79,8.16,70.0,35.0,0.824096842312878
0.333,0.0,0.333,0.0,0.333,0.0,11.75,-1.67,9.86,65.0,25.0,0.93617761010595
0.0,0.333,0.333,0.0,0.333,0.0,14.12,-1.72,9.31,65.0,30.0,1.03799842883997
0.333,0.0,0.0,0.333,0.333,0.0,12.3,-0.7,8.0,70.0,30.0,0.746758539131361
0.0,0.333,0.0,0.333,0.333,0.0,20.28,-1.3,11.0,75.0,40.0,1.24483866329054
0.0,0.0,0.333,0.333,0.333,0.0,12.18,-1.84,8.96,60.0,30.0,0.973875915463223
0.333,0.333,0.0,0.0,0.0,0.333,12.16,-0.8,9.56,70.0,35.0,0.78439633911899
0.333,0.0,0.333,0.0,0.0,0.333,7.1,-2.55,10.77,50.0,35.0,0.91337224407955
0.0,0.333,0.333,0.0,0.0,0.333,14.94,-1.42,10.69,60.0,40.0,1.04190829067855
0.333,0.0,0.0,0.333,0.0,0.333,11.51,-0.96,9.24,60.0,35.0,0.780742222435431
0.0,0.333,0.0,0.333,0.0,0.333,19.47,-0.81,11.6,65.0,40.0,1.13342242514908
0.0,0.0,0.333,0.333,0.0,0.333,14.04,-1.57,11.0,60.0,35.0,1.03865808765484
0.333,0.0,0.0,0.0,0.333,0.333,9.95,-1.08,8.68,65.0,30.0,0.725620036282203
0.0,0.333,0.0,0.0,0.333,0.333,17.67,-1.54,9.71,65.0,50.0,1.15966514835343
0.0,0.0,0.333,0.0,0.333,0.333,10.75,-2.32,10.26,60.0,30.0,1.02353222142843
0.0,0.0,0.0,0.333,0.333,0.333,19.03,-1.78,13.56,60.0,35.0,1.33260004815273
0.25,0.25,0.25,0.25,0.0,0.0,13.7,-1.03,9.88,65.0,30.0,0.900159240861221
0.25,0.25,0.25,0.0,0.25,0.0,12.8,-1.16,9.2,65.0,35.0,0.874285704241262
0.25,0.25,0.0,0.25,0.25,0.0,17.23,-0.59,9.05,70.0,35.0,0.952110264178381
0.25,0.0,0.25,0.25,0.25,0.0,10.14,-1.54,8.64,60.0,25.0,0.82174432234448
0.0,0.25,0.25,0.25,0.25,0.0,17.78,-1.43,10.02,60.0,40.0,1.14913488514914
0.25,0.25,0.25,0.0,0.0,0.25,11.99,-1.28,10.61,60.0,35.0,0.88630861495049
0.25,0.25,0.0,0.25,0.0,0.25,16.21,0.02,9.42,65.0,45.0,0.801211447249687
0.25,0.0,0.25,0.25,0.0,0.25,10.36,-1.66,10.58,50.0,25.0,0.885673561661748
0.0,0.25,0.25,0.25,0.0,0.25,15.67,-1.2,10.67,65.0,35.0,1.03281216919258
0.25,0.25,0.0,0.0,0.25,0.25,13.89,-0.7,9.44,75.0,40.0,0.836850998385763
0.25,0.0,0.25,0.0,0.25,0.25,10.03,-1.96,10.15,65.0,35.0,0.919782099694458
0.0,0.25,0.25,0.0,0.25,0.25,14.98,-1.36,9.7,65.0,45.0,1.01420285374127
0.25,0.0,0.0,0.25,0.25,0.25,13.06,-0.79,8.54,65.0,20.0,0.804670862365341
0.0,0.25,0.0,0.25,0.25,0.25,21.92,-0.51,11.04,65.0,40.0,1.16365777670092
0.0,0.0,0.25,0.25,0.25,0.25,12.48,-1.66,9.55,65.0,35.0,0.96274753765473
0.2,0.2,0.2,0.2,0.2,0.0,13.87,-1.06,9.29,70.0,30.0,0.902265557095482
0.2,0.2,0.2,0.2,0.0,0.2,14.11,-0.9,10.04,60.0,30.0,0.895338519091244
0.2,0.2,0.2,0.0,0.2,0.2,11.64,-1.55,10.11,70.0,40.0,0.91270622447465
0.2,0.2,0.0,0.2,0.2,0.2,16.06,-0.72,9.2,70.0,40.0,0.930771321318357
0.2,0.0,0.2,0.2,0.2,0.2,11.47,-1.31,9.71,55.0,30.0,0.853121554164011
0.0,0.2,0.2,0.2,0.2,0.2,17.03,-1.3,10.05,65.0,30.0,1.09642607605322
0.167,0.167,0.167,0.167,0.167,0.167,13.73,-1.11,9.5,70.0,35.0,0.910100800805274
1.0,0.0,0.0,0.0,0.0,0.0,22.18,6.29,16.44,65.0,80.0,1.58044040356646
0.0,1.0,0.0,0.0,0.0,0.0,14.24,3.99,12.08,55.0,80.0,1.20756114947585
0.0,0.0,1.0,0.0,0.0,0.0,29.57,7.62,14.78,65.0,85.0,1.31686207007236
0.0,0.0,0.0,1.0,0.0,0.0,0.21,1.25,15.97,50.0,55.0,1.43796367969383
0.0,0.0,0.0,0.0,1.0,0.0,3.05,1.23,10.45,60.0,75.0,1.10928734225536
0.0,0.0,0.0,0.0,0.0,1.0,8.83,3.14,15.19,55.0,65.0,1.47953852985436
0.5,0.5,0.0,0.0,0.0,0.0,29.75,7.16,10.25,80.0,85.0,0.902055261328428
0.5,0.0,0.5,0.0,0.0,0.0,26.86,7.14,15.28,65.0,75.0,1.36887979640848
0.0,0.5,0.5,0.0,0.0,0.0,28.23,6.96,11.51,80.0,85.0,1.04927138382189
0.5,0.0,0.0,0.5,0.0,0.0,20.03,5.33,12.28,75.0,70.0,1.10871549054225
0.0,0.5,0.0,0.5,0.0,0.0,11.94,3.4,11.2,60.0,80.0,1.05805568485851
0.0,0.0,0.5,0.5,0.0,0.0,24.25,6.39,13.51,70.0,85.0,1.18958930293802
0.5,0.0,0.0,0.0,0.5,0.0,18.15,4.92,12.35,70.0,85.0,1.21834036559764
0.0,0.5,0.0,0.0,0.5,0.0,8.65,2.42,8.74,60.0,90.0,0.916896278879272
0.0,0.0,0.5,0.0,0.5,0.0,19.54,5.09,10.98,75.0,90.0,1.02851719792512
0.0,0.0,0.0,0.5,0.5,0.0,-0.72,0.49,11.95,55.0,70.0,1.1419565597091
0.5,0.0,0.0,0.0,0.0,0.5,20.64,5.71,14.57,65.0,75.0,1.36470891519764
0.0,0.5,0.0,0.0,0.0,0.5,20.03,5.27,12.0,65.0,80.0,1.10465895420441
0.0,0.0,0.5,0.0,0.0,0.5,22.92,6.23,14.6,65.0,70.0,1.28611536585045
0.0,0.0,0.0,0.5,0.0,0.5,7.15,2.66,14.37,55.0,50.0,1.27420997455208
0.0,0.0,0.0,0.0,0.5,0.5,5.61,2.07,12.64,60.0,65.0,1.31196999833117
0.333,0.333,0.333,0.0,0.0,0.0,30.01,7.4,12.06,85.0,85.0,1.06721770622364
0.333,0.333,0.0,0.333,0.0,0.0,26.16,6.37,9.71,85.0,90.0,0.862257181782766
0.333,0.0,0.333,0.333,0.0,0.0,25.29,6.52,12.87,75.0,70.0,1.14621140883728
0.0,0.333,0.333,0.333,0.0,0.0,23.14,5.88,11.28,80.0,80.0,1.02522694148741
0.333,0.333,0.0,0.0,0.333,0.0,19.41,4.9,9.29,80.0,85.0,0.865789536678537
0.333,0.0,0.333,0.0,0.333,0.0,24.11,6.29,13.07,70.0,90.0,1.22205461371747
0.0,0.333,0.333,0.0,0.333,0.0,19.0,4.81,9.33,80.0,90.0,0.889621833936658
0.333,0.0,0.0,0.333,0.333,0.0,15.17,4.05,10.34,65.0,80.0,1.02623592478609
0.0,0.333,0.0,0.333,0.333,0.0,5.69,1.78,9.44,60.0,80.0,0.95005973510497
0.0,0.0,0.333,0.333,0.333,0.0,16.55,4.39,10.64,70.0,90.0,1.03267545378547
0.333,0.333,0.0,0.0,0.0,0.333,27.94,6.82,10.6,80.0,80.0,0.894291581740562
0.333,0.0,0.333,0.0,0.0,0.333,24.29,6.52,14.66,65.0,70.0,1.31297562727847
0.0,0.333,0.333,0.0,0.0,0.333,28.8,7.18,12.45,75.0,80.0,1.09791237160339
0.333,0.0,0.0,0.333,0.0,0.333,15.93,4.39,11.92,70.0,65.0,1.04815140483215
0.0,0.333,0.0,0.333,0.0,0.333,16.64,4.43,10.97,65.0,75.0,0.961474065301305
0.0,0.0,0.333,0.333,0.0,0.333,21.28,5.78,13.78,70.0,70.0,1.20118270306259
0.333,0.0,0.0,0.0,0.333,0.333,19.84,5.5,14.15,70.0,80.0,1.37968626091211
0.0,0.333,0.0,0.0,0.333,0.333,13.61,3.63,9.71,55.0,85.0,0.990142126972353
0.0,0.0,0.333,0.0,0.333,0.333,22.65,5.96,12.94,70.0,75.0,1.1839961819191
0.0,0.0,0.0,0.333,0.333,0.333,1.16,1.2,14.06,50.0,50.0,1.3091877304767
0.25,0.25,0.25,0.25,0.0,0.0,27.5,6.84,11.64,85.0,85.0,1.02802871894279
0.25,0.25,0.25,0.0,0.25,0.0,25.62,6.39,11.08,80.0,90.0,1.0284686868621
0.25,0.25,0.0,0.25,0.25,0.0,16.35,4.21,9.12,75.0,85.0,0.887199273376654
0.25,0.0,0.25,0.25,0.25,0.0,23.07,5.92,11.58,70.0,85.0,1.08146677439444
0.0,0.25,0.25,0.25,0.25,0.0,16.12,4.18,9.4,70.0,85.0,0.915069481971682
0.25,0.25,0.25,0.0,0.0,0.25,28.09,7.06,12.64,75.0,85.0,1.08141567046545
0.25,0.25,0.0,0.25,0.0,0.25,23.88,5.95,10.41,70.0,85.0,0.885613987015488
0.25,0.0,0.25,0.25,0.0,0.25,24.33,6.42,13.79,70.0,65.0,1.17513406133545
0.0,0.25,0.25,0.25,0.0,0.25,24.13,6.21,12.4,75.0,80.0,1.08849983037164
0.25,0.25,0.0,0.0,0.25,0.25,24.44,6.03,9.91,80.0,85.0,0.908558879858028
0.25,0.0,0.25,0.0,0.25,0.25,24.92,6.56,14.0,70.0,80.0,1.30145407560761
0.0,0.25,0.25,0.0,0.25,0.25,23.17,5.84,10.81,80.0,80.0,1.01368370852621
0.25,0.0,0.0,0.25,0.25,0.25,16.67,4.54,11.76,70.0,70.0,1.06851009380207
0.0,0.25,0.0,0.25,0.25,0.25,10.98,3.1,10.42,55.0,75.0,1.01362853110589
0.0,0.0,0.25,0.25,0.25,0.25,19.19,5.17,12.41,65.0,75.0,1.13350154793691
0.2,0.2,0.2,0.2,0.2,0.0,24.23,6.03,10.42,80.0,85.0,0.975507153222619
0.2,0.2,0.2,0.2,0.0,0.2,26.76,6.74,12.09,75.0,85.0,1.01917258093504
0.2,0.2,0.2,0.0,0.2,0.2,27.64,6.91,12.03,75.0,85.0,1.08058288337879
0.2,0.2,0.0,0.2,0.2,0.2,19.5,4.96,9.8,80.0,85.0,0.908428925643007
0.2,0.0,0.2,0.2,0.2,0.2,24.2,6.28,12.73,75.0,75.0,1.14972987871062
0.0,0.2,0.2,0.2,0.2,0.2,20.01,5.13,10.54,70.0,90.0,0.99765594882205
0.167,0.167,0.167,0.167,0.167,0.167,26.69,6.63,11.2,80.0,85.0,0.998147585233246
1.0,0.0,0.0,0.0,0.0,0.0,1.95,1.34,21.86,60.0,40.0,1.90260785842194
0.0,1.0,0.0,0.0,0.0,0.0,2.38,0.64,12.87,55.0,65.0,1.26328666976097
0.0,0.0,1.0,0.0,0.0,0.0,8.03,2.65,20.83,55.0,50.0,1.89433911474852
0.0,0.0,0.0,1.0,0.0,0.0,-0.67,0.07,15.55,55.0,35.0,1.42545367196926
0.0,0.0,0.0,0.0,1.0,0.0,2.2,0.44,10.67,65.0,70.0,1.09457872420659
0.0,0.0,0.0,0.0,0.0,1.0,-5.34,-1.49,8.89,40.0,30.0,0.859994814225728
0.5,0.5,0.0,0.0,0.0,0.0,6.19,1.63,14.41,55.0,65.0,1.39219244061401
0.5,0.0,0.5,0.0,0.0,0.0,6.17,2.34,21.82,60.0,50.0,1.93911838502618
0.0,0.5,0.5,0.0,0.0,0.0,7.82,1.97,13.77,55.0,70.0,1.35446157422151
0.5,0.0,0.0,0.5,0.0,0.0,6.85,1.9,16.28,55.0,40.0,1.52495734528824
0.0,0.5,0.0,0.5,0.0,0.0,4.73,1.23,13.18,65.0,65.0,1.24737550166848
0.0,0.0,0.5,0.5,0.0,0.0,9.84,2.64,16.61,60.0,55.0,1.59140867642691
0.5,0.0,0.0,0.0,0.5,0.0,2.56,0.74,14.6,55.0,50.0,1.4207594823452
0.0,0.5,0.0,0.0,0.5,0.0,4.6,1.07,10.99,65.0,75.0,1.09153718533456
0.0,0.0,0.5,0.0,0.5,0.0,4.17,1.1,14.24,55.0,50.0,1.41954640636682
0.0,0.0,0.0,0.5,0.5,0.0,3.57,0.95,12.94,65.0,60.0,1.20324449763971
