Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Excess Return
0.0,0.0,0.25,0.25,0.25,0.25,20.58,0.899535387228409,6.5,80.0,50.0,1.24
0.2,0.2,0.2,0.2,0.2,0.0,23.24,0.991586187605168,5.78,80.0,65.0,1.4
0.2,0.2,0.2,0.2,0.0,0.2,27.36,0.933934700048325,7.34,80.0,60.0,2.59
0.2,0.2,0.2,0.0,0.2,0.2,27.65,1.06943441910604,6.6,80.0,65.0,2.05
0.2,0.2,0.0,0.2,0.2,0.2,23.07,1.04368419794708,6.05,80.0,70.0,1.16
0.2,0.0,0.2,0.2,0.2,0.2,23.47,0.794886765926057,6.29,80.0,55.0,2.29
0.0,0.2,0.2,0.2,0.2,0.2,24.29,1.12511412177859,6.77,80.0,80.0,1.13
0.167,0.167,0.167,0.167,0.167,0.167,24.16,0.941707523942642,6.07,80.0,70.0,1.82
1.0,0.0,0.0,0.0,0.0,0.0,7.7,0.736939118061755,9.59,60.0,30.0,-1.59
0.0,1.0,0.0,0.0,0.0,0.0,16.75,1.16984069330904,10.3,70.0,40.0,-1.74
0.0,0.0,1.0,0.0,0.0,0.0,9.76,1.04922101726706,11.13,55.0,30.0,-2.6
0.0,0.0,0.0,1.0,0.0,0.0,20.34,1.4389158674478,16.43,70.0,40.0,-1.68
0.0,0.0,0.0,0.0,1.0,0.0,17.85,1.01698257722442,7.94,85.0,25.0,-0.89
0.0,0.0,0.0,0.0,0.0,1.0,8.36,1.10807323220207,10.67,55.0,40.0,-3.28
0.5,0.5,0.0,0.0,0.0,0.0,14.39,0.754226231908235,9.13,70.0,35.0,-0.18
0.5,0.0,0.5,0.0,0.0,0.0,8.65,0.971649447798019,11.16,55.0,30.0,-2.45
0.0,0.5,0.5,0.0,0.0,0.0,14.22,1.02158663943514,10.09,60.0,40.0,-1.54
0.5,0.0,0.0,0.5,0.0,0.0,11.22,0.680928616221562,8.78,65.0,40.0,-0.53
0.0,0.5,0.0,0.5,0.0,0.0,22.03,1.2948600557805,12.81,65.0,40.0,-0.99
0.0,0.0,0.5,0.5,0.0,0.0,11.82,1.05491561523588,10.72,65.0,25.0,-2.19
0.5,0.0,0.0,0.0,0.5,0.0,12.1,0.739862524600847,8.05,70.0,25.0,-0.71
0.0,0.5,0.0,0.0,0.5,0.0,18.26,1.1024392488103,8.95,65.0,45.0,-1.17
0.0,0.0,0.5,0.0,0.5,0.0,13.72,0.96412601811546,9.05,65.0,30.0,-1.44
0.0,0.0,0.0,0.5,0.5,0.0,18.55,1.21266136040627,11.43,75.0,25.0,-1.47
0.5,0.0,0.0,0.0,0.0,0.5,7.01,0.746329999703915,9.37,55.0,30.0,-1.83
0.0,0.5,0.0,0.0,0.0,0.5,15.3,1.06262868929149,10.48,60.0,40.0,-1.47
0.0,0.0,0.5,0.0,0.0,0.5,8.86,1.01274070355523,10.93,55.0,30.0,-2.63
0.0,0.0,0.0,0.5,0.0,0.5,15.47,1.18198559660819,14.43,60.0,40.0,-1.62
0.0,0.0,0.0,0.0,0.5,0.5,13.27,1.05664430620391,8.96,65.0,30.0,-2.04
0.333,0.333,0.333,0.0,0.0,0.0,11.77,0.87802061559013,10.22,60.0,35.0,-1.33
0.333,0.333,0.0,0.333,0.0,0.0,16.66,0.891597203642691,9.91,65.0,35.0,-0.32
0.333,0.0,0.333,0.333,0.0,0.0,10.9,0.833827479498978,9.94,65.0,25.0,-1.32
0.0,0.333,0.333,0.333,0.0,0.0,17.45,1.04933835280926,10.59,65.0,35.0,-0.91
0.333,0.333,0.0,0.0,0.333,0.0,13.65,0.824096842312878,8.16,70.0,35.0,-0.79
0.333,0.0,0.333,0.0,0.333,0.0,11.75,0.93617761010595,9.86,65.0,25.0,-1.67
0.0,0.333,0.333,0.0,0.333,0.0,14.12,1.03799842883997,9.31,65.0,30.0,-1.72
0.333,0.0,0.0,0.333,0.333,0.0,12.3,0.746758539131361,8.0,70.0,30.0,-0.7
0.0,0.333,0.0,0.333,0.333,0.0,20.28,1.24483866329054,11.0,75.0,40.0,-1.3
0.0,0.0,0.333,0.333,0.333,0.0,12.18,0.973875915463223,8.96,60.0,30.0,-1.84
0.333,0.333,0.0,0.0,0.0,0.333,12.16,0.78439633911899,9.56,70.0,35.0,-0.8
0.333,0.0,0.333,0.0,0.0,0.333,7.1,0.91337224407955,10.77,50.0,35.0,-2.55
0.0,0.333,0.333,0.0,0.0,0.333,14.94,1.04190829067855,10.69,60.0,40.0,-1.42
0.333,0.0,0.0,0.333,0.0,0.333,11.51,0.780742222435431,9.24,60.0,35.0,-0.96
0.0,0.333,0.0,0.333,0.0,0.333,19.47,1.13342242514908,11.6,65.0,40.0,-0.81
0.0,0.0,0.333,0.333,0.0,0.333,14.04,1.03865808765484,11.0,60.0,35.0,-1.57
0.333,0.0,0.0,0.0,0.333,0.333,9.95,0.725620036282203,8.68,65.0,30.0,-1.08
0.0,0.333,0.0,0.0,0.333,0.333,17.67,1.15966514835343,9.71,65.0,50.0,-1.54
0.0,0.0,0.333,0.0,0.333,0.333,10.75,1.02353222142843,10.26,60.0,30.0,-2.32
0.0,0.0,0.0,0.333,0.333,0.333,19.03,1.33260004815273,13.56,60.0,35.0,-1.78
0.25,0.25,0.25,0.25,0.0,0.0,13.7,0.900159240861221,9.88,65.0,30.0,-1.03
0.25,0.25,0.25,0.0,0.25,0.0,12.8,0.874285704241262,9.2,65.0,35.0,-1.16
0.25,0.25,0.0,0.25,0.25,0.0,17.23,0.952110264178381,9.05,70.0,35.0,-0.59
0.25,0.0,0.25,0.25,0.25,0.0,10.14,0.82174432234448,8.64,60.0,25.0,-1.54
0.0,0.25,0.25,0.25,0.25,0.0,17.78,1.14913488514914,10.02,60.0,40.0,-1.43
0.25,0.25,0.25,0.0,0.0,0.25,11.99,0.88630861495049,10.61,60.0,35.0,-1.28
0.25,0.25,0.0,0.25,0.0,0.25,16.21,0.801211447249687,9.42,65.0,45.0,0.02
0.25,0.0,0.25,0.25,0.0,0.25,10.36,0.885673561661748,10.58,50.0,25.0,-1.66
0.0,0.25,0.25,0.25,0.0,0.25,15.67,1.03281216919258,10.67,65.0,35.0,-1.2
0.25,0.25,0.0,0.0,0.25,0.25,13.89,0.836850998385763,9.44,75.0,40.0,-0.7
0.25,0.0,0.25,0.0,0.25,0.25,10.03,0.919782099694458,10.15,65.0,35.0,-1.96
0.0,0.25,0.25,0.0,0.25,0.25,14.98,1.01420285374127,9.7,65.0,45.0,-1.36
0.25,0.0,0.0,0.25,0.25,0.25,13.06,0.804670862365341,8.54,65.0,20.0,-0.79
0.0,0.25,0.0,0.25,0.25,0.25,21.92,1.16365777670092,11.04,65.0,40.0,-0.51
0.0,0.0,0.25,0.25,0.25,0.25,12.48,0.96274753765473,9.55,65.0,35.0,-1.66
0.2,0.2,0.2,0.2,0.2,0.0,13.87,0.902265557095482,9.29,70.0,30.0,-1.06
0.2,0.2,0.2,0.2,0.0,0.2,14.11,0.895338519091244,10.04,60.0,30.0,-0.9
0.2,0.2,0.2,0.0,0.2,0.2,11.64,0.91270622447465,10.11,70.0,40.0,-1.55
0.2,0.2,0.0,0.2,0.2,0.2,16.06,0.930771321318357,9.2,70.0,40.0,-0.72
0.2,0.0,0.2,0.2,0.2,0.2,11.47,0.853121554164011,9.71,55.0,30.0,-1.31
0.0,0.2,0.2,0.2,0.2,0.2,17.03,1.09642607605322,10.05,65.0,30.0,-1.3
0.167,0.167,0.167,0.167,0.167,0.167,13.73,0.910100800805274,9.5,70.0,35.0,-1.11
1.0,0.0,0.0,0.0,0.0,0.0,22.18,1.58044040356646,16.44,65.0,80.0,6.29
0.0,1.0,0.0,0.0,0.0,0.0,14.24,1.20756114947585,12.08,55.0,80.0,3.99
0.0,0.0,1.0,0.0,0.0,0.0,29.57,1.31686207007236,14.78,65.0,85.0,7.62
0.0,0.0,0.0,1.0,0.0,0.0,0.21,1.43796367969383,15.97,50.0,55.0,1.25
0.0,0.0,0.0,0.0,1.0,0.0,3.05,1.10928734225536,10.45,60.0,75.0,1.23
0.0,0.0,0.0,0.0,0.0,1.0,8.83,1.47953852985436,15.19,55.0,65.0,3.14
0.5,0.5,0.0,0.0,0.0,0.0,29.75,0.902055261328428,10.25,80.0,85.0,7.16
0.5,0.0,0.5,0.0,0.0,0.0,26.86,1.36887979640848,15.28,65.0,75.0,7.14
0.0,0.5,0.5,0.0,0.0,0.0,28.23,1.04927138382189,11.51,80.0,85.0,6.96
0.5,0.0,0.0,0.5,0.0,0.0,20.03,1.10871549054225,12.28,75.0,70.0,5.33
0.0,0.5,0.0,0.5,0.0,0.0,11.94,1.05805568485851,11.2,60.0,80.0,3.4
0.0,0.0,0.5,0.5,0.0,0.0,24.25,1.18958930293802,13.51,70.0,85.0,6.39
0.5,0.0,0.0,0.0,0.5,0.0,18.15,1.21834036559764,12.35,70.0,85.0,4.92
0.0,0.5,0.0,0.0,0.5,0.0,8.65,0.916896278879272,8.74,60.0,90.0,2.42
0.0,0.0,0.5,0.0,0.5,0.0,19.54,1.02851719792512,10.98,75.0,90.0,5.09
0.0,0.0,0.0,0.5,0.5,0.0,-0.72,1.1419565597091,11.95,55.0,70.0,0.49
0.5,0.0,0.0,0.0,0.0,0.5,20.64,1.36470891519764,14.57,65.0,75.0,5.71
0.0,0.5,0.0,0.0,0.0,0.5,20.03,1.10465895420441,12.0,65.0,80.0,5.27
0.0,0.0,0.5,0.0,0.0,0.5,22.92,1.28611536585045,14.6,65.0,70.0,6.23
0.0,0.0,0.0,0.5,0.0,0.5,7.15,1.27420997455208,14.37,55.0,50.0,2.66
0.0,0.0,0.0,0.0,0.5,0.5,5.61,1.31196999833117,12.64,60.0,65.0,2.07
0.333,0.333,0.333,0.0,0.0,0.0,30.01,1.06721770622364,12.06,85.0,85.0,7.4
0.333,0.333,0.0,0.333,0.0,0.0,26.16,0.862257181782766,9.71,85.0,90.0,6.37
0.333,0.0,0.333,0.333,0.0,0.0,25.29,1.14621140883728,12.87,75.0,70.0,6.52
0.0,0.333,0.333,0.333,0.0,0.0,23.14,1.02522694148741,11.28,80.0,80.0,5.88
0.333,0.333,0.0,0.0,0.333,0.0,19.41,0.865789536678537,9.29,80.0,85.0,4.9
0.333,0.0,0.333,0.0,0.333,0.0,24.11,1.22205461371747,13.07,70.0,90.0,6.29
0.0,0.333,0.333,0.0,0.333,0.0,19.0,0.889621833936658,9.33,80.0,90.0,4.81
0.333,0.0,0.0,0.333,0.333,0.0,15.17,1.02623592478609,10.34,65.0,80.0,4.05
0.0,0.333,0.0,0.333,0.333,0.0,5.69,0.95005973510497,9.44,60.0,80.0,1.78
0.0,0.0,0.333,0.333,0.333,0.0,16.55,1.03267545378547,10.64,70.0,90.0,4.39
0.333,0.333,0.0,0.0,0.0,0.333,27.94,0.894291581740562,10.6,80.0,80.0,6.82
0.333,0.0,0.333,0.0,0.0,0.333,24.29,1.31297562727847,14.66,65.0,70.0,6.52
0.0,0.333,0.333,0.0,0.0,0.333,28.8,1.09791237160339,12.45,75.0,80.0,7.18
0.333,0.0,0.0,0.333,0.0,0.333,15.93,1.04815140483215,11.92,70.0,65.0,4.39
0.0,0.333,0.0,0.333,0.0,0.333,16.64,0.961474065301305,10.97,65.0,75.0,4.43
0.0,0.0,0.333,0.333,0.0,0.333,21.28,1.20118270306259,13.78,70.0,70.0,5.78
0.333,0.0,0.0,0.0,0.333,0.333,19.84,1.37968626091211,14.15,70.0,80.0,5.5
0.0,0.333,0.0,0.0,0.333,0.333,13.61,0.990142126972353,9.71,55.0,85.0,3.63
0.0,0.0,0.333,0.0,0.333,0.333,22.65,1.1839961819191,12.94,70.0,75.0,5.96
0.0,0.0,0.0,0.333,0.333,0.333,1.16,1.3091877304767,14.06,50.0,50.0,1.2
0.25,0.25,0.25,0.25,0.0,0.0,27.5,1.02802871894279,11.64,85.0,85.0,6.84
0.25,0.25,0.25,0.0,0.25,0.0,25.62,1.0284686868621,11.08,80.0,90.0,6.39
0.25,0.25,0.0,0.25,0.25,0.0,16.35,0.887199273376654,9.12,75.0,85.0,4.21
0.25,0.0,0.25,0.25,0.25,0.0,23.07,1.08146677439444,11.58,70.0,85.0,5.92
0.0,0.25,0.25,0.25,0.25,0.0,16.12,0.915069481971682,9.4,70.0,85.0,4.18
0.25,0.25,0.25,0.0,0.0,0.25,28.09,1.08141567046545,12.64,75.0,85.0,7.06
0.25,0.25,0.0,0.25,0.0,0.25,23.88,0.885613987015488,10.41,70.0,85.0,5.95
0.25,0.0,0.25,0.25,0.0,0.25,24.33,1.17513406133545,13.79,70.0,65.0,6.42
0.0,0.25,0.25,0.25,0.0,0.25,24.13,1.08849983037164,12.4,75.0,80.0,6.21
0.25,0.25,0.0,0.0,0.25,0.25,24.44,0.908558879858028,9.91,80.0,85.0,6.03
0.25,0.0,0.25,0.0,0.25,0.25,24.92,1.30145407560761,14.0,70.0,80.0,6.56
0.0,0.25,0.25,0.0,0.25,0.25,23.17,1.01368370852621,10.81,80.0,80.0,5.84
0.25,0.0,0.0,0.25,0.25,0.25,16.67,1.06851009380207,11.76,70.0,70.0,4.54
0.0,0.25,0.0,0.25,0.25,0.25,10.98,1.01362853110589,10.42,55.0,75.0,3.1
0.0,0.0,0.25,0.25,0.25,0.25,19.19,1.13350154793691,12.41,65.0,75.0,5.17
0.2,0.2,0.2,0.2,0.2,0.0,24.23,0.975507153222619,10.42,80.0,85.0,6.03
0.2,0.2,0.2,0.2,0.0,0.2,26.76,1.01917258093504,12.09,75.0,85.0,6.74
0.2,0.2,0.2,0.0,0.2,0.2,27.64,1.08058288337879,12.03,75.0,85.0,6.91
0.2,0.2,0.0,0.2,0.2,0.2,19.5,0.908428925643007,9.8,80.0,85.0,4.96
0.2,0.0,0.2,0.2,0.2,0.2,24.2,1.14972987871062,12.73,75.0,75.0,6.28
0.0,0.2,0.2,0.2,0.2,0.2,20.01,0.99765594882205,10.54,70.0,90.0,5.13
0.167,0.167,0.167,0.167,0.167,0.167,26.69,0.998147585233246,11.2,80.0,85.0,6.63
1.0,0.0,0.0,0.0,0.0,0.0,1.95,1.90260785842194,21.86,60.0,40.0,1.34
0.0,1.0,0.0,0.0,0.0,0.0,2.38,1.26328666976097,12.87,55.0,65.0,0.64
0.0,0.0,1.0,0.0,0.0,0.0,8.03,1.89433911474852,20.83,55.0,50.0,2.65
0.0,0.0,0.0,1.0,0.0,0.0,-0.67,1.42545367196926,15.55,55.0,35.0,0.07
0.0,0.0,0.0,0.0,1.0,0.0,2.2,1.09457872420659,10.67,65.0,70.0,0.44
0.0,0.0,0.0,0.0,0.0,1.0,-5.34,0.859994814225728,8.89,40.0,30.0,-1.49
0.5,0.5,0.0,0.0,0.0,0.0,6.19,1.39219244061401,14.41,55.0,65.0,1.63
0.5,0.0,0.5,0.0,0.0,0.0,6.17,1.93911838502618,21.82,60.0,50.0,2.34
0.0,0.5,0.5,0.0,0.0,0.0,7.82,1.35446157422151,13.77,55.0,70.0,1.97
0.5,0.0,0.0,0.5,0.0,0.0,6.85,1.52495734528824,16.28,55.0,40.0,1.9
0.0,0.5,0.0,0.5,0.0,0.0,4.73,1.24737550166848,13.18,65.0,65.0,1.23
0.0,0.0,0.5,0.5,0.0,0.0,9.84,1.59140867642691,16.61,60.0,55.0,2.64
0.5,0.0,0.0,0.0,0.5,0.0,2.56,1.4207594823452,14.6,55.0,50.0,0.74
0.0,0.5,0.0,0.0,0.5,0.0,4.6,1.09153718533456,10.99,65.0,75.0,1.07
0.0,0.0,0.5,0.0,0.5,0.0,4.17,1.41954640636682,14.24,55.0,50.0,1.1
0.0,0.0,0.0,0.5,0.5,0.0,3.57,1.20324449763971,12.94,65.0,60.0,0.95
